project_id,load_area,technology,plant_name,eia_id,capacity_mw,heat_rate,cogen_thermal_demand_mmbtus_per_mwh,start_year,forced_retirement_year,overnight_cost,connect_cost_per_mw,fixed_o_m,variable_o_m
5000000,AZ_APS_N,Hydro_NonPumped_EP,Glen_Canyon_Dam,153,495,0,0,1965,9999,3619188,66201.59,15079.95,6.031979918
5000001,AZ_APS_N,Hydro_NonPumped_EP,Glen_Canyon_Dam,153,322,0,0,1966,9999,3619188,66201.59,15079.95,6.031979918
5000002,AZ_APS_N,Hydro_NonPumped_EP,Glen_Canyon_Dam,153,495,0,0,1964,9999,3619188,66201.59,15079.95,6.031979918
5000003,AZ_APS_N,Hydro_Pumped_EP,Waddell,7164,40,0,0,1993,9999,2241890.5,66201.59,30964.164,0
5000004,AZ_NM_N,Hydro_NonPumped_EP,Navajo_Dam,584,30,0,0,1989,9999,3696192,67610.225,15400.8,6.160319916
5000005,AZ_NW,Hydro_NonPumped_EP,Davis_Dam,152,254.8,0,0,1951,9999,3696192,67610.225,15400.8,6.160319916
5000006,AZ_PHX,Hydro_NonPumped_EP,Horse_Mesa,145,29.7,0,0,1927,9999,3619188,66201.59,15079.95,6.031979918
5000007,AZ_PHX,Hydro_Pumped_EP,Horse_Mesa,145,99.8,0,0,1972,9999,2241890.5,66201.59,30964.164,0
5000008,AZ_PHX,Hydro_NonPumped_EP,Mormon_Flat,148,9.2,0,0,1926,9999,3619188,66201.59,15079.95,6.031979918
5000009,AZ_PHX,Hydro_Pumped_EP,Mormon_Flat,148,54.3,0,0,1971,9999,2241890.5,66201.59,30964.164,0
5000010,AZ_PHX,Hydro_NonPumped_EP,Roosevelt,149,36,0,0,1973,9999,3619188,66201.59,15079.95,6.031979918
5000011,AZ_PHX,Hydro_NonPumped_EP,South_Consolidated,100,1.4,0,0,1981,9999,3619188,66201.59,15079.95,6.031979918
5000012,AZ_PHX,Hydro_NonPumped_EP,Stewart_Mountain,150,13,0,0,1930,9999,3619188,66201.59,15079.95,6.031979918
5000013,CA_IID,Hydro_NonPumped_EP,Drop_1,585,5.7,0,0,1984,9999,4312224,78878.5,17967.6,7.187039902
5000014,CA_IID,Hydro_NonPumped_EP,Drop_2,385,10,0,0,1953,9999,4312224,78878.5,17967.6,7.187039902
5000015,CA_IID,Hydro_NonPumped_EP,Drop_3,386,4.8,0,0,1941,9999,4312224,78878.5,17967.6,7.187039902
5000016,CA_IID,Hydro_NonPumped_EP,Drop_3,386,5,0,0,1966,9999,4312224,78878.5,17967.6,7.187039902
5000017,CA_IID,Hydro_NonPumped_EP,Drop_4,387,10,0,0,1950,9999,4312224,78878.5,17967.6,7.187039902
5000018,CA_IID,Hydro_NonPumped_EP,Drop_4,387,9.6,0,0,1941,9999,4312224,78878.5,17967.6,7.187039902
5000019,CA_IID,Hydro_NonPumped_EP,Drop_5,314,4,0,0,1982,9999,4312224,78878.5,17967.6,7.187039902
5000020,CA_IID,Hydro_NonPumped_EP,East_Highline,586,2.4,0,0,1984,9999,4312224,78878.5,17967.6,7.187039902
5000021,CA_IID,Hydro_NonPumped_EP,Pilot_Knob,388,33,0,0,1957,9999,4312224,78878.5,17967.6,7.187039902
5000022,CA_IID,Hydro_NonPumped_EP,Siphon_Drop_Power_Plant,57364,4.4,0,0,1987,9999,4312224,78878.5,17967.6,7.187039902
5000023,CA_IID,Hydro_NonPumped_EP,Whitewater_Hydro_Plant,10162,1.3,0,0,1986,9999,4312224,78878.5,17967.6,7.187039902
5000024,CA_LADWP,Hydro_NonPumped_EP,East_Portal_Generator,50375,1.2,0,0,1987,9999,4312224,78878.5,17967.6,7.187039902
5000025,CA_LADWP,Hydro_NonPumped_EP,Franklin,397,2,0,0,1921,9999,4312224,78878.5,17967.6,7.187039902
5000026,CA_LADWP,Hydro_NonPumped_EP,Greg_Avenue,6643,1,0,0,1979,9999,4312224,78878.5,17967.6,7.187039902
5000027,CA_LADWP,Hydro_Pumped_EP,North_Hollywood,57854,5.4,0,0,1993,9999,2671185.5,78878.5,36893.472,0
5000028,CA_LADWP,Hydro_NonPumped_EP,San_Fernando,403,5.6,0,0,1922,9999,4312224,78878.5,17967.6,7.187039902
5000029,CA_LADWP,Hydro_NonPumped_EP,Sepulveda_Canyon,316,8.5,0,0,1982,9999,4312224,78878.5,17967.6,7.187039902
5000030,CA_LADWP,Hydro_NonPumped_EP,Venice,72,10.1,0,0,1982,9999,4312224,78878.5,17967.6,7.187039902
5000031,CA_PGE_CEN,Hydro_NonPumped_EP,A_G_Wishon,293,12.8,0,0,1910,9999,4196718,76765.72,17486.325,6.994529904
