Investment, RootNode, BuildGen, 'C-Biomass_IGCC':2020, 0.0
Investment, RootNode, BuildGen, 'C-Biomass_IGCC':2030, 0.0
Investment, RootNode, BuildGen, 'C-Central_PV-1':2020, 1.87890784915724
Investment, RootNode, BuildGen, 'C-Central_PV-1':2030, 0.0
Investment, RootNode, BuildGen, 'C-Central_PV-2':2020, 0.180201393875986
Investment, RootNode, BuildGen, 'C-Central_PV-2':2030, 0.0
Investment, RootNode, BuildGen, 'C-Coal_IGCC':2020, 0.0
Investment, RootNode, BuildGen, 'C-Coal_IGCC':2030, 0.0
Investment, RootNode, BuildGen, 'C-Coal_ST':1985, 2.0
Investment, RootNode, BuildGen, 'C-Commercial_PV':2020, 0.0
Investment, RootNode, BuildGen, 'C-Commercial_PV':2030, 0.0
Investment, RootNode, BuildGen, 'C-NG_CC':2005, 2.0
Investment, RootNode, BuildGen, 'C-NG_CC':2020, 0.522104034329255
Investment, RootNode, BuildGen, 'C-NG_CC':2030, 7.28995506387364
Investment, RootNode, BuildGen, 'C-NG_GT':2005, 2.0
Investment, RootNode, BuildGen, 'C-NG_GT':2020, 0.0
Investment, RootNode, BuildGen, 'C-NG_GT':2030, 0.0
Investment, RootNode, BuildGen, 'C-Nuclear':2030, 0.0
Investment, RootNode, BuildGen, 'C-Residential_PV':2020, 0.0
Investment, RootNode, BuildGen, 'C-Residential_PV':2030, 0.0
Investment, RootNode, BuildGen, 'C-Wind-1':2020, 0.269327202379826
Investment, RootNode, BuildGen, 'C-Wind-1':2030, 3.73067279762017
Investment, RootNode, BuildGen, 'C-Wind-2':2020, 0.0686918877500861
Investment, RootNode, BuildGen, 'C-Wind-2':2030, 2.93130811224991
Investment, RootNode, BuildGen, 'N-Biomass_IGCC':2020, 0.0
Investment, RootNode, BuildGen, 'N-Biomass_IGCC':2030, 0.0
Investment, RootNode, BuildGen, 'N-Biomass_IGCC_CCS':2030, 0.0
Investment, RootNode, BuildGen, 'N-Central_PV-1':2020, 0.0
Investment, RootNode, BuildGen, 'N-Central_PV-1':2030, 0.0
Investment, RootNode, BuildGen, 'N-Central_PV-2':2020, 0.0
Investment, RootNode, BuildGen, 'N-Central_PV-2':2030, 0.0
Investment, RootNode, BuildGen, 'N-Coal_IGCC':2020, 0.0
Investment, RootNode, BuildGen, 'N-Coal_IGCC':2030, 0.0
Investment, RootNode, BuildGen, 'N-Coal_IGCC_CCS':2030, 0.0
Investment, RootNode, BuildGen, 'N-Coal_ST':1995, 2.0
Investment, RootNode, BuildGen, 'N-Commercial_PV':2020, 0.0
Investment, RootNode, BuildGen, 'N-Commercial_PV':2030, 0.0
Investment, RootNode, BuildGen, 'N-Geothermal':2000, 1.0
Investment, RootNode, BuildGen, 'N-Geothermal':2020, 0.0
Investment, RootNode, BuildGen, 'N-Geothermal':2030, 0.0
Investment, RootNode, BuildGen, 'N-NG_CC':2008, 2.0
Investment, RootNode, BuildGen, 'N-NG_CC':2020, 0.078094358336279
Investment, RootNode, BuildGen, 'N-NG_CC':2030, 0.0
Investment, RootNode, BuildGen, 'N-NG_CC_CCS':2030, 0.0
Investment, RootNode, BuildGen, 'N-NG_GT':2009, 2.0
Investment, RootNode, BuildGen, 'N-NG_GT':2020, 0.0
Investment, RootNode, BuildGen, 'N-NG_GT':2030, 0.0
Investment, RootNode, BuildGen, 'N-Nuclear':2030, 0.0
Investment, RootNode, BuildGen, 'N-Residential_PV':2020, 0.0
Investment, RootNode, BuildGen, 'N-Residential_PV':2030, 0.0
Investment, RootNode, BuildGen, 'N-Wind-1':2020, 0.0
Investment, RootNode, BuildGen, 'N-Wind-1':2030, 3.6698926398474905
Investment, RootNode, BuildGen, 'N-Wind-2':2020, 1.0
Investment, RootNode, BuildGen, 'N-Wind-2':2030, 0.0
Investment, RootNode, BuildGen, 'S-Biomass_IGCC':2020, 0.0
Investment, RootNode, BuildGen, 'S-Biomass_IGCC':2030, 0.0
Investment, RootNode, BuildGen, 'S-Biomass_IGCC_CCS':2030, 0.0
Investment, RootNode, BuildGen, 'S-Central_PV-1':2020, 0.0
Investment, RootNode, BuildGen, 'S-Central_PV-1':2030, 0.0
Investment, RootNode, BuildGen, 'S-Central_PV-2':2020, 0.0
Investment, RootNode, BuildGen, 'S-Central_PV-2':2030, 0.0
Investment, RootNode, BuildGen, 'S-Commercial_PV':2020, 0.0
Investment, RootNode, BuildGen, 'S-Commercial_PV':2030, 0.0
Investment, RootNode, BuildGen, 'S-Geothermal':1998, 3.0
Investment, RootNode, BuildGen, 'S-Geothermal':2020, 0.0
Investment, RootNode, BuildGen, 'S-Geothermal':2030, 0.0
Investment, RootNode, BuildGen, 'S-NG_CC':2000, 5.0
Investment, RootNode, BuildGen, 'S-NG_CC':2020, 0.0
Investment, RootNode, BuildGen, 'S-NG_CC':2030, 0.306698756528206
Investment, RootNode, BuildGen, 'S-NG_CC_CCS':2030, 0.0
Investment, RootNode, BuildGen, 'S-NG_GT':1990, 3.0
Investment, RootNode, BuildGen, 'S-NG_GT':2002, 2.0
Investment, RootNode, BuildGen, 'S-NG_GT':2020, 0.0
Investment, RootNode, BuildGen, 'S-NG_GT':2030, 0.0
Investment, RootNode, BuildGen, 'S-Residential_PV':2020, 0.0
Investment, RootNode, BuildGen, 'S-Residential_PV':2030, 0.0
Investment, RootNode, BuildLocalTD, 'Central':2020, 0.723864836325238
Investment, RootNode, BuildLocalTD, 'Central':2030, 2.11193241816262
Investment, RootNode, BuildLocalTD, 'North':2020, 0.8357972544878569
Investment, RootNode, BuildLocalTD, 'North':2030, 2.11193241816262
Investment, RootNode, BuildLocalTD, 'South':2020, 1.05966209081309
Investment, RootNode, BuildLocalTD, 'South':2030, 2.11193241816262
Investment, RootNode, BuildTx, 'C-S':2020, 0.0
Investment, RootNode, BuildTx, 'C-S':2030, 2.39745331299706
Investment, RootNode, BuildTx, 'N-C':2020, 0.0
Investment, RootNode, BuildTx, 'N-C':2030, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Biomass_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':2, 1.1232111122262
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':4, 1.17845100299142
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':5, 0.0
