timepoint_id	timepoint_label	timeseries
1501007301.0	2007-01-30-00:00	150701301.0
1501017301.0	2007-01-30-01:00	150701301.0
1501027301.0	2007-01-30-02:00	150701301.0
1501037301.0	2007-01-30-03:00	150701301.0
1501047301.0	2007-01-30-04:00	150701301.0
1501057301.0	2007-01-30-05:00	150701301.0
1501067301.0	2007-01-30-06:00	150701301.0
1501077301.0	2007-01-30-07:00	150701301.0
1501087301.0	2007-01-30-08:00	150701301.0
1501097301.0	2007-01-30-09:00	150701301.0
1501107301.0	2007-01-30-10:00	150701301.0
1501117301.0	2007-01-30-11:00	150701301.0
1501127301.0	2007-01-30-12:00	150701301.0
1501137301.0	2007-01-30-13:00	150701301.0
1501147301.0	2007-01-30-14:00	150701301.0
1501157301.0	2007-01-30-15:00	150701301.0
1501167301.0	2007-01-30-16:00	150701301.0
1501177301.0	2007-01-30-17:00	150701301.0
1501187301.0	2007-01-30-18:00	150701301.0
1501197301.0	2007-01-30-19:00	150701301.0
1501207301.0	2007-01-30-20:00	150701301.0
1501217301.0	2007-01-30-21:00	150701301.0
1501227301.0	2007-01-30-22:00	150701301.0
1501237301.0	2007-01-30-23:00	150701301.0
1502007170.0	2007-02-17-00:00	150702170.0
1502017170.0	2007-02-17-01:00	150702170.0
1502027170.0	2007-02-17-02:00	150702170.0
1502037170.0	2007-02-17-03:00	150702170.0
1502047170.0	2007-02-17-04:00	150702170.0
1502057170.0	2007-02-17-05:00	150702170.0
1502067170.0	2007-02-17-06:00	150702170.0
1502077170.0	2007-02-17-07:00	150702170.0
1502087170.0	2007-02-17-08:00	150702170.0
1502097170.0	2007-02-17-09:00	150702170.0
1502107170.0	2007-02-17-10:00	150702170.0
1502117170.0	2007-02-17-11:00	150702170.0
1502127170.0	2007-02-17-12:00	150702170.0
1502137170.0	2007-02-17-13:00	150702170.0
1502147170.0	2007-02-17-14:00	150702170.0
1502157170.0	2007-02-17-15:00	150702170.0
1502167170.0	2007-02-17-16:00	150702170.0
1502177170.0	2007-02-17-17:00	150702170.0
1502187170.0	2007-02-17-18:00	150702170.0
1502197170.0	2007-02-17-19:00	150702170.0
1502207170.0	2007-02-17-20:00	150702170.0
1502217170.0	2007-02-17-21:00	150702170.0
1502227170.0	2007-02-17-22:00	150702170.0
1502237170.0	2007-02-17-23:00	150702170.0
1503007121.0	2007-03-12-00:00	150703121.0
1503017121.0	2007-03-12-01:00	150703121.0
1503027121.0	2007-03-12-02:00	150703121.0
1503037121.0	2007-03-12-03:00	150703121.0
1503047121.0	2007-03-12-04:00	150703121.0
1503057121.0	2007-03-12-05:00	150703121.0
1503067121.0	2007-03-12-06:00	150703121.0
1503077121.0	2007-03-12-07:00	150703121.0
1503087121.0	2007-03-12-08:00	150703121.0
1503097121.0	2007-03-12-09:00	150703121.0
1503107121.0	2007-03-12-10:00	150703121.0
1503117121.0	2007-03-12-11:00	150703121.0
1503127121.0	2007-03-12-12:00	150703121.0
1503137121.0	2007-03-12-13:00	150703121.0
1503147121.0	2007-03-12-14:00	150703121.0
1503157121.0	2007-03-12-15:00	150703121.0
1503167121.0	2007-03-12-16:00	150703121.0
1503177121.0	2007-03-12-17:00	150703121.0
1503187121.0	2007-03-12-18:00	150703121.0
1503197121.0	2007-03-12-19:00	150703121.0
1503207121.0	2007-03-12-20:00	150703121.0
1503217121.0	2007-03-12-21:00	150703121.0
1503227121.0	2007-03-12-22:00	150703121.0
1503237121.0	2007-03-12-23:00	150703121.0
1504007091.0	2007-04-09-00:00	150704091.0
1504017091.0	2007-04-09-01:00	150704091.0
1504027091.0	2007-04-09-02:00	150704091.0
1504037091.0	2007-04-09-03:00	150704091.0
1504047091.0	2007-04-09-04:00	150704091.0
1504057091.0	2007-04-09-05:00	150704091.0
1504067091.0	2007-04-09-06:00	150704091.0
1504077091.0	2007-04-09-07:00	150704091.0
1504087091.0	2007-04-09-08:00	150704091.0
1504097091.0	2007-04-09-09:00	150704091.0
1504107091.0	2007-04-09-10:00	150704091.0
1504117091.0	2007-04-09-11:00	150704091.0
1504127091.0	2007-04-09-12:00	150704091.0
1504137091.0	2007-04-09-13:00	150704091.0
1504147091.0	2007-04-09-14:00	150704091.0
1504157091.0	2007-04-09-15:00	150704091.0
1504167091.0	2007-04-09-16:00	150704091.0
1504177091.0	2007-04-09-17:00	150704091.0
1504187091.0	2007-04-09-18:00	150704091.0
1504197091.0	2007-04-09-19:00	150704091.0
1504207091.0	2007-04-09-20:00	150704091.0
1504217091.0	2007-04-09-21:00	150704091.0
1504227091.0	2007-04-09-22:00	150704091.0
1504237091.0	2007-04-09-23:00	150704091.0
1504007100.0	2007-04-10-00:00	150704100.0
1504017100.0	2007-04-10-01:00	150704100.0
1504027100.0	2007-04-10-02:00	150704100.0
1504037100.0	2007-04-10-03:00	150704100.0
1504047100.0	2007-04-10-04:00	150704100.0
1504057100.0	2007-04-10-05:00	150704100.0
1504067100.0	2007-04-10-06:00	150704100.0
1504077100.0	2007-04-10-07:00	150704100.0
1504087100.0	2007-04-10-08:00	150704100.0
1504097100.0	2007-04-10-09:00	150704100.0
1504107100.0	2007-04-10-10:00	150704100.0
1504117100.0	2007-04-10-11:00	150704100.0
1504127100.0	2007-04-10-12:00	150704100.0
1504137100.0	2007-04-10-13:00	150704100.0
1504147100.0	2007-04-10-14:00	150704100.0
1504157100.0	2007-04-10-15:00	150704100.0
1504167100.0	2007-04-10-16:00	150704100.0
1504177100.0	2007-04-10-17:00	150704100.0
1504187100.0	2007-04-10-18:00	150704100.0
1504197100.0	2007-04-10-19:00	150704100.0
1504207100.0	2007-04-10-20:00	150704100.0
1504217100.0	2007-04-10-21:00	150704100.0
1504227100.0	2007-04-10-22:00	150704100.0
1504237100.0	2007-04-10-23:00	150704100.0
1505007150.0	2007-05-15-00:00	150705150.0
1505017150.0	2007-05-15-01:00	150705150.0
1505027150.0	2007-05-15-02:00	150705150.0
1505037150.0	2007-05-15-03:00	150705150.0
1505047150.0	2007-05-15-04:00	150705150.0
1505057150.0	2007-05-15-05:00	150705150.0
1505067150.0	2007-05-15-06:00	150705150.0
1505077150.0	2007-05-15-07:00	150705150.0
1505087150.0	2007-05-15-08:00	150705150.0
1505097150.0	2007-05-15-09:00	150705150.0
1505107150.0	2007-05-15-10:00	150705150.0
1505117150.0	2007-05-15-11:00	150705150.0
1505127150.0	2007-05-15-12:00	150705150.0
1505137150.0	2007-05-15-13:00	150705150.0
1505147150.0	2007-05-15-14:00	150705150.0
1505157150.0	2007-05-15-15:00	150705150.0
1505167150.0	2007-05-15-16:00	150705150.0
1505177150.0	2007-05-15-17:00	150705150.0
1505187150.0	2007-05-15-18:00	150705150.0
1505197150.0	2007-05-15-19:00	150705150.0
1505207150.0	2007-05-15-20:00	150705150.0
1505217150.0	2007-05-15-21:00	150705150.0
1505227150.0	2007-05-15-22:00	150705150.0
1505237150.0	2007-05-15-23:00	150705150.0
1505007301.0	2007-05-30-00:00	150705301.0
1505017301.0	2007-05-30-01:00	150705301.0
1505027301.0	2007-05-30-02:00	150705301.0
1505037301.0	2007-05-30-03:00	150705301.0
1505047301.0	2007-05-30-04:00	150705301.0
1505057301.0	2007-05-30-05:00	150705301.0
1505067301.0	2007-05-30-06:00	150705301.0
1505077301.0	2007-05-30-07:00	150705301.0
1505087301.0	2007-05-30-08:00	150705301.0
1505097301.0	2007-05-30-09:00	150705301.0
1505107301.0	2007-05-30-10:00	150705301.0
1505117301.0	2007-05-30-11:00	150705301.0
1505127301.0	2007-05-30-12:00	150705301.0
1505137301.0	2007-05-30-13:00	150705301.0
1505147301.0	2007-05-30-14:00	150705301.0
1505157301.0	2007-05-30-15:00	150705301.0
1505167301.0	2007-05-30-16:00	150705301.0
1505177301.0	2007-05-30-17:00	150705301.0
1505187301.0	2007-05-30-18:00	150705301.0
1505197301.0	2007-05-30-19:00	150705301.0
1505207301.0	2007-05-30-20:00	150705301.0
1505217301.0	2007-05-30-21:00	150705301.0
1505227301.0	2007-05-30-22:00	150705301.0
1505237301.0	2007-05-30-23:00	150705301.0
1506007051.0	2007-06-05-00:00	150706051.0
1506017051.0	2007-06-05-01:00	150706051.0
1506027051.0	2007-06-05-02:00	150706051.0
1506037051.0	2007-06-05-03:00	150706051.0
1506047051.0	2007-06-05-04:00	150706051.0
1506057051.0	2007-06-05-05:00	150706051.0
1506067051.0	2007-06-05-06:00	150706051.0
1506077051.0	2007-06-05-07:00	150706051.0
1506087051.0	2007-06-05-08:00	150706051.0
1506097051.0	2007-06-05-09:00	150706051.0
1506107051.0	2007-06-05-10:00	150706051.0
1506117051.0	2007-06-05-11:00	150706051.0
1506127051.0	2007-06-05-12:00	150706051.0
1506137051.0	2007-06-05-13:00	150706051.0
1506147051.0	2007-06-05-14:00	150706051.0
1506157051.0	2007-06-05-15:00	150706051.0
1506167051.0	2007-06-05-16:00	150706051.0
1506177051.0	2007-06-05-17:00	150706051.0
1506187051.0	2007-06-05-18:00	150706051.0
1506197051.0	2007-06-05-19:00	150706051.0
1506207051.0	2007-06-05-20:00	150706051.0
1506217051.0	2007-06-05-21:00	150706051.0
1506227051.0	2007-06-05-22:00	150706051.0
1506237051.0	2007-06-05-23:00	150706051.0
1507007191.0	2007-07-19-00:00	150707191.0
1507017191.0	2007-07-19-01:00	150707191.0
1507027191.0	2007-07-19-02:00	150707191.0
1507037191.0	2007-07-19-03:00	150707191.0
1507047191.0	2007-07-19-04:00	150707191.0
1507057191.0	2007-07-19-05:00	150707191.0
1507067191.0	2007-07-19-06:00	150707191.0
1507077191.0	2007-07-19-07:00	150707191.0
1507087191.0	2007-07-19-08:00	150707191.0
1507097191.0	2007-07-19-09:00	150707191.0
1507107191.0	2007-07-19-10:00	150707191.0
1507117191.0	2007-07-19-11:00	150707191.0
1507127191.0	2007-07-19-12:00	150707191.0
1507137191.0	2007-07-19-13:00	150707191.0
1507147191.0	2007-07-19-14:00	150707191.0
1507157191.0	2007-07-19-15:00	150707191.0
1507167191.0	2007-07-19-16:00	150707191.0
1507177191.0	2007-07-19-17:00	150707191.0
1507187191.0	2007-07-19-18:00	150707191.0
1507197191.0	2007-07-19-19:00	150707191.0
1507207191.0	2007-07-19-20:00	150707191.0
1507217191.0	2007-07-19-21:00	150707191.0
1507227191.0	2007-07-19-22:00	150707191.0
1507237191.0	2007-07-19-23:00	150707191.0
1508007060.0	2007-08-06-00:00	150708060.0
1508017060.0	2007-08-06-01:00	150708060.0
1508027060.0	2007-08-06-02:00	150708060.0
1508037060.0	2007-08-06-03:00	150708060.0
1508047060.0	2007-08-06-04:00	150708060.0
1508057060.0	2007-08-06-05:00	150708060.0
1508067060.0	2007-08-06-06:00	150708060.0
1508077060.0	2007-08-06-07:00	150708060.0
1508087060.0	2007-08-06-08:00	150708060.0
1508097060.0	2007-08-06-09:00	150708060.0
1508107060.0	2007-08-06-10:00	150708060.0
1508117060.0	2007-08-06-11:00	150708060.0
1508127060.0	2007-08-06-12:00	150708060.0
1508137060.0	2007-08-06-13:00	150708060.0
1508147060.0	2007-08-06-14:00	150708060.0
1508157060.0	2007-08-06-15:00	150708060.0
1508167060.0	2007-08-06-16:00	150708060.0
1508177060.0	2007-08-06-17:00	150708060.0
1508187060.0	2007-08-06-18:00	150708060.0
1508197060.0	2007-08-06-19:00	150708060.0
1508207060.0	2007-08-06-20:00	150708060.0
1508217060.0	2007-08-06-21:00	150708060.0
1508227060.0	2007-08-06-22:00	150708060.0
1508237060.0	2007-08-06-23:00	150708060.0
1508007301.0	2007-08-30-00:00	150708301.0
1508017301.0	2007-08-30-01:00	150708301.0
1508027301.0	2007-08-30-02:00	150708301.0
1508037301.0	2007-08-30-03:00	150708301.0
1508047301.0	2007-08-30-04:00	150708301.0
1508057301.0	2007-08-30-05:00	150708301.0
1508067301.0	2007-08-30-06:00	150708301.0
1508077301.0	2007-08-30-07:00	150708301.0
1508087301.0	2007-08-30-08:00	150708301.0
1508097301.0	2007-08-30-09:00	150708301.0
1508107301.0	2007-08-30-10:00	150708301.0
1508117301.0	2007-08-30-11:00	150708301.0
1508127301.0	2007-08-30-12:00	150708301.0
1508137301.0	2007-08-30-13:00	150708301.0
1508147301.0	2007-08-30-14:00	150708301.0
1508157301.0	2007-08-30-15:00	150708301.0
1508167301.0	2007-08-30-16:00	150708301.0
1508177301.0	2007-08-30-17:00	150708301.0
1508187301.0	2007-08-30-18:00	150708301.0
1508197301.0	2007-08-30-19:00	150708301.0
1508207301.0	2007-08-30-20:00	150708301.0
1508217301.0	2007-08-30-21:00	150708301.0
1508227301.0	2007-08-30-22:00	150708301.0
1508237301.0	2007-08-30-23:00	150708301.0
1509007030.0	2007-09-03-00:00	150709030.0
1509017030.0	2007-09-03-01:00	150709030.0
1509027030.0	2007-09-03-02:00	150709030.0
1509037030.0	2007-09-03-03:00	150709030.0
1509047030.0	2007-09-03-04:00	150709030.0
1509057030.0	2007-09-03-05:00	150709030.0
1509067030.0	2007-09-03-06:00	150709030.0
1509077030.0	2007-09-03-07:00	150709030.0
1509087030.0	2007-09-03-08:00	150709030.0
1509097030.0	2007-09-03-09:00	150709030.0
1509107030.0	2007-09-03-10:00	150709030.0
1509117030.0	2007-09-03-11:00	150709030.0
1509127030.0	2007-09-03-12:00	150709030.0
1509137030.0	2007-09-03-13:00	150709030.0
1509147030.0	2007-09-03-14:00	150709030.0
1509157030.0	2007-09-03-15:00	150709030.0
1509167030.0	2007-09-03-16:00	150709030.0
1509177030.0	2007-09-03-17:00	150709030.0
1509187030.0	2007-09-03-18:00	150709030.0
1509197030.0	2007-09-03-19:00	150709030.0
1509207030.0	2007-09-03-20:00	150709030.0
1509217030.0	2007-09-03-21:00	150709030.0
1509227030.0	2007-09-03-22:00	150709030.0
1509237030.0	2007-09-03-23:00	150709030.0
1509007071.0	2007-09-07-00:00	150709071.0
1509017071.0	2007-09-07-01:00	150709071.0
1509027071.0	2007-09-07-02:00	150709071.0
1509037071.0	2007-09-07-03:00	150709071.0
1509047071.0	2007-09-07-04:00	150709071.0
1509057071.0	2007-09-07-05:00	150709071.0
1509067071.0	2007-09-07-06:00	150709071.0
1509077071.0	2007-09-07-07:00	150709071.0
1509087071.0	2007-09-07-08:00	150709071.0
1509097071.0	2007-09-07-09:00	150709071.0
1509107071.0	2007-09-07-10:00	150709071.0
1509117071.0	2007-09-07-11:00	150709071.0
1509127071.0	2007-09-07-12:00	150709071.0
1509137071.0	2007-09-07-13:00	150709071.0
1509147071.0	2007-09-07-14:00	150709071.0
1509157071.0	2007-09-07-15:00	150709071.0
1509167071.0	2007-09-07-16:00	150709071.0
1509177071.0	2007-09-07-17:00	150709071.0
1509187071.0	2007-09-07-18:00	150709071.0
1509197071.0	2007-09-07-19:00	150709071.0
1509207071.0	2007-09-07-20:00	150709071.0
1509217071.0	2007-09-07-21:00	150709071.0
1509227071.0	2007-09-07-22:00	150709071.0
1509237071.0	2007-09-07-23:00	150709071.0
1510007130.0	2007-10-13-00:00	150710130.0
1510017130.0	2007-10-13-01:00	150710130.0
1510027130.0	2007-10-13-02:00	150710130.0
1510037130.0	2007-10-13-03:00	150710130.0
1510047130.0	2007-10-13-04:00	150710130.0
1510057130.0	2007-10-13-05:00	150710130.0
1510067130.0	2007-10-13-06:00	150710130.0
1510077130.0	2007-10-13-07:00	150710130.0
1510087130.0	2007-10-13-08:00	150710130.0
1510097130.0	2007-10-13-09:00	150710130.0
1510107130.0	2007-10-13-10:00	150710130.0
1510117130.0	2007-10-13-11:00	150710130.0
1510127130.0	2007-10-13-12:00	150710130.0
1510137130.0	2007-10-13-13:00	150710130.0
1510147130.0	2007-10-13-14:00	150710130.0
1510157130.0	2007-10-13-15:00	150710130.0
1510167130.0	2007-10-13-16:00	150710130.0
1510177130.0	2007-10-13-17:00	150710130.0
1510187130.0	2007-10-13-18:00	150710130.0
1510197130.0	2007-10-13-19:00	150710130.0
1510207130.0	2007-10-13-20:00	150710130.0
1510217130.0	2007-10-13-21:00	150710130.0
1510227130.0	2007-10-13-22:00	150710130.0
1510237130.0	2007-10-13-23:00	150710130.0
1510007221.0	2007-10-22-00:00	150710221.0
1510017221.0	2007-10-22-01:00	150710221.0
1510027221.0	2007-10-22-02:00	150710221.0
1510037221.0	2007-10-22-03:00	150710221.0
1510047221.0	2007-10-22-04:00	150710221.0
1510057221.0	2007-10-22-05:00	150710221.0
1510067221.0	2007-10-22-06:00	150710221.0
1510077221.0	2007-10-22-07:00	150710221.0
1510087221.0	2007-10-22-08:00	150710221.0
1510097221.0	2007-10-22-09:00	150710221.0
1510107221.0	2007-10-22-10:00	150710221.0
1510117221.0	2007-10-22-11:00	150710221.0
1510127221.0	2007-10-22-12:00	150710221.0
1510137221.0	2007-10-22-13:00	150710221.0
1510147221.0	2007-10-22-14:00	150710221.0
1510157221.0	2007-10-22-15:00	150710221.0
1510167221.0	2007-10-22-16:00	150710221.0
1510177221.0	2007-10-22-17:00	150710221.0
1510187221.0	2007-10-22-18:00	150710221.0
1510197221.0	2007-10-22-19:00	150710221.0
1510207221.0	2007-10-22-20:00	150710221.0
1510217221.0	2007-10-22-21:00	150710221.0
1510227221.0	2007-10-22-22:00	150710221.0
1510237221.0	2007-10-22-23:00	150710221.0
1511007071.0	2007-11-07-00:00	150711071.0
1511017071.0	2007-11-07-01:00	150711071.0
1511027071.0	2007-11-07-02:00	150711071.0
1511037071.0	2007-11-07-03:00	150711071.0
1511047071.0	2007-11-07-04:00	150711071.0
1511057071.0	2007-11-07-05:00	150711071.0
1511067071.0	2007-11-07-06:00	150711071.0
1511077071.0	2007-11-07-07:00	150711071.0
1511087071.0	2007-11-07-08:00	150711071.0
1511097071.0	2007-11-07-09:00	150711071.0
1511107071.0	2007-11-07-10:00	150711071.0
1511117071.0	2007-11-07-11:00	150711071.0
1511127071.0	2007-11-07-12:00	150711071.0
1511137071.0	2007-11-07-13:00	150711071.0
1511147071.0	2007-11-07-14:00	150711071.0
1511157071.0	2007-11-07-15:00	150711071.0
1511167071.0	2007-11-07-16:00	150711071.0
1511177071.0	2007-11-07-17:00	150711071.0
1511187071.0	2007-11-07-18:00	150711071.0
1511197071.0	2007-11-07-19:00	150711071.0
1511207071.0	2007-11-07-20:00	150711071.0
1511217071.0	2007-11-07-21:00	150711071.0
1511227071.0	2007-11-07-22:00	150711071.0
1511237071.0	2007-11-07-23:00	150711071.0
1512007041.0	2007-12-04-00:00	150712041.0
1512017041.0	2007-12-04-01:00	150712041.0
1512027041.0	2007-12-04-02:00	150712041.0
1512037041.0	2007-12-04-03:00	150712041.0
1512047041.0	2007-12-04-04:00	150712041.0
1512057041.0	2007-12-04-05:00	150712041.0
1512067041.0	2007-12-04-06:00	150712041.0
1512077041.0	2007-12-04-07:00	150712041.0
1512087041.0	2007-12-04-08:00	150712041.0
1512097041.0	2007-12-04-09:00	150712041.0
1512107041.0	2007-12-04-10:00	150712041.0
1512117041.0	2007-12-04-11:00	150712041.0
1512127041.0	2007-12-04-12:00	150712041.0
1512137041.0	2007-12-04-13:00	150712041.0
1512147041.0	2007-12-04-14:00	150712041.0
1512157041.0	2007-12-04-15:00	150712041.0
1512167041.0	2007-12-04-16:00	150712041.0
1512177041.0	2007-12-04-17:00	150712041.0
1512187041.0	2007-12-04-18:00	150712041.0
1512197041.0	2007-12-04-19:00	150712041.0
1512207041.0	2007-12-04-20:00	150712041.0
1512217041.0	2007-12-04-21:00	150712041.0
1512227041.0	2007-12-04-22:00	150712041.0
1512237041.0	2007-12-04-23:00	150712041.0
1512007140.0	2007-12-14-00:00	150712140.0
1512017140.0	2007-12-14-01:00	150712140.0
1512027140.0	2007-12-14-02:00	150712140.0
1512037140.0	2007-12-14-03:00	150712140.0
1512047140.0	2007-12-14-04:00	150712140.0
1512057140.0	2007-12-14-05:00	150712140.0
1512067140.0	2007-12-14-06:00	150712140.0
1512077140.0	2007-12-14-07:00	150712140.0
1512087140.0	2007-12-14-08:00	150712140.0
1512097140.0	2007-12-14-09:00	150712140.0
1512107140.0	2007-12-14-10:00	150712140.0
1512117140.0	2007-12-14-11:00	150712140.0
1512127140.0	2007-12-14-12:00	150712140.0
1512137140.0	2007-12-14-13:00	150712140.0
1512147140.0	2007-12-14-14:00	150712140.0
