TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
150701301.0	2007	1.0	24	1.0
150702170.0	2007	1.0	24	27.0
150703121.0	2007	1.0	24	1.0
150704091.0	2007	1.0	24	1.0
150704100.0	2007	1.0	24	29.0
150705150.0	2007	1.0	24	30.0
150705301.0	2007	1.0	24	1.0
150706051.0	2007	1.0	24	1.0
150707191.0	2007	1.0	24	1.0
150708060.0	2007	1.0	24	30.0
150708301.0	2007	1.0	24	1.0
150709030.0	2007	1.0	24	29.0
150709071.0	2007	1.0	24	1.0
150710130.0	2007	1.0	24	30.0
150710221.0	2007	1.0	24	1.0
150711071.0	2007	1.0	24	1.0
150712041.0	2007	1.0	24	1.0
150712140.0	2007	1.0	24	30.0
150801220.0	2007	1.0	24	30.0
150802061.0	2007	1.0	24	1.0
150803300.0	2007	1.0	24	30.0
150806150.0	2007	1.0	24	29.0
150807020.0	2007	1.0	24	30.0
150811290.0	2007	1.0	24	29.0
180701280.0	2008	1.0	24	30.0
180701301.0	2008	1.0	24	1.0
180702200.0	2008	1.0	24	27.0
180703121.0	2008	1.0	24	1.0
180704091.0	2008	1.0	24	1.0
180704220.0	2008	1.0	24	29.0
180705230.0	2008	1.0	24	30.0
180705301.0	2008	1.0	24	1.0
180706051.0	2008	1.0	24	1.0
180707191.0	2008	1.0	24	1.0
180708301.0	2008	1.0	24	1.0
180709071.0	2008	1.0	24	1.0
180709120.0	2008	1.0	24	29.0
180710180.0	2008	1.0	24	30.0
180710221.0	2008	1.0	24	1.0
180711071.0	2008	1.0	24	1.0
180712041.0	2008	1.0	24	1.0
180712310.0	2008	1.0	24	30.0
180802061.0	2008	1.0	24	1.0
180803270.0	2008	1.0	24	30.0
180806170.0	2008	1.0	24	29.0
180807070.0	2008	1.0	24	30.0
180808240.0	2008	1.0	24	30.0
180811060.0	2008	1.0	24	29.0
