LOAD_ZONE	TIMEPOINT	demand_mw
Oahu	1801007280.0	701.03
Oahu	1801017280.0	660.66
Oahu	1801027280.0	639.75
Oahu	1801037280.0	632.32
Oahu	1801047280.0	647.02
Oahu	1801057280.0	684.73
Oahu	1801067280.0	734.37
Oahu	1801077280.0	801.89
Oahu	1801087280.0	893.52
Oahu	1801097280.0	952.06
Oahu	1801107280.0	977.9
Oahu	1801117280.0	988.25
Oahu	1801127280.0	985.59
Oahu	1801137280.0	985.45
Oahu	1801147280.0	980.23
Oahu	1801157280.0	990.6
Oahu	1801167280.0	1005.64
Oahu	1801177280.0	1050.21
Oahu	1801187280.0	1097.32
Oahu	1801197280.0	1047.01
Oahu	1801207280.0	982.44
Oahu	1801217280.0	904.0
Oahu	1801227280.0	797.08
Oahu	1801237280.0	705.81
Oahu	1801007301.0	682.14
Oahu	1501007301.0	682.14
Oahu	1801017301.0	643.77
Oahu	1501017301.0	643.77
Oahu	1801027301.0	632.4
Oahu	1501027301.0	632.4
Oahu	1801037301.0	661.37
Oahu	1501037301.0	661.37
Oahu	1801047301.0	724.24
Oahu	1501047301.0	724.24
Oahu	1801057301.0	848.13
Oahu	1501057301.0	848.13
Oahu	1801067301.0	978.14
Oahu	1501067301.0	978.14
Oahu	1801077301.0	1003.14
Oahu	1501077301.0	1003.14
Oahu	1801087301.0	1051.33
Oahu	1501087301.0	1051.33
Oahu	1801097301.0	1077.46
Oahu	1501097301.0	1077.46
Oahu	1801107301.0	1085.02
Oahu	1501107301.0	1085.02
Oahu	1801117301.0	1099.76
Oahu	1501117301.0	1099.76
Oahu	1801127301.0	1107.25
Oahu	1501127301.0	1107.25
Oahu	1801137301.0	1095.48
Oahu	1501137301.0	1095.48
Oahu	1801147301.0	1096.16
Oahu	1501147301.0	1096.16
Oahu	1801157301.0	1090.02
Oahu	1501157301.0	1090.02
Oahu	1801167301.0	1092.35
Oahu	1501167301.0	1092.35
Oahu	1801177301.0	1120.33
Oahu	1501177301.0	1120.33
Oahu	1801187301.0	1188.41
Oahu	1501187301.0	1188.41
Oahu	1801197301.0	1125.73
Oahu	1501197301.0	1125.73
Oahu	1801207301.0	1044.94
Oahu	1501207301.0	1044.94
Oahu	1801217301.0	950.56
Oahu	1501217301.0	950.56
Oahu	1801227301.0	835.16
Oahu	1501227301.0	835.16
Oahu	1801237301.0	739.87
Oahu	1501237301.0	739.87
Oahu	1502007170.0	715.02
Oahu	1502017170.0	676.68
Oahu	1502027170.0	657.39
Oahu	1502037170.0	655.85
Oahu	1502047170.0	668.53
Oahu	1502057170.0	723.87
Oahu	1502067170.0	798.78
Oahu	1502077170.0	895.91
Oahu	1502087170.0	978.49
Oahu	1502097170.0	1023.96
Oahu	1502107170.0	1038.84
Oahu	1502117170.0	1031.02
Oahu	1502127170.0	1011.78
Oahu	1502137170.0	992.25
Oahu	1502147170.0	985.39
Oahu	1502157170.0	985.87
Oahu	1502167170.0	994.52
Oahu	1502177170.0	1004.57
Oahu	1502187170.0	1044.73
Oahu	1502197170.0	1013.21
Oahu	1502207170.0	967.34
Oahu	1502217170.0	909.45
Oahu	1502227170.0	828.91
Oahu	1502237170.0	747.14
Oahu	1802007200.0	660.46
Oahu	1802017200.0	629.21
Oahu	1802027200.0	619.99
Oahu	1802037200.0	627.83
Oahu	1802047200.0	691.78
Oahu	1802057200.0	819.96
Oahu	1802067200.0	943.09
Oahu	1802077200.0	965.56
Oahu	1802087200.0	1009.54
Oahu	1802097200.0	1039.13
Oahu	1802107200.0	1053.68
Oahu	1802117200.0	1061.88
Oahu	1802127200.0	1054.61
Oahu	1802137200.0	1053.2
Oahu	1802147200.0	1048.63
Oahu	1802157200.0	1043.48
Oahu	1802167200.0	1038.72
Oahu	1802177200.0	1044.98
Oahu	1802187200.0	1120.01
Oahu	1802197200.0	1073.62
Oahu	1802207200.0	1006.17
Oahu	1802217200.0	926.64
Oahu	1802227200.0	812.57
Oahu	1802237200.0	711.57
Oahu	1803007121.0	703.29
Oahu	1503007121.0	703.29
Oahu	1803017121.0	671.8
Oahu	1503017121.0	671.8
Oahu	1803027121.0	658.06
Oahu	1503027121.0	658.06
Oahu	1803037121.0	669.01
Oahu	1503037121.0	669.01
Oahu	1803047121.0	732.51
Oahu	1503047121.0	732.51
Oahu	1803057121.0	858.59
Oahu	1503057121.0	858.59
Oahu	1803067121.0	985.6
Oahu	1503067121.0	985.6
Oahu	1803077121.0	1028.09
Oahu	1503077121.0	1028.09
Oahu	1803087121.0	1084.18
Oahu	1503087121.0	1084.18
Oahu	1803097121.0	1119.39
Oahu	1503097121.0	1119.39
Oahu	1803107121.0	1136.95
Oahu	1503107121.0	1136.95
Oahu	1803117121.0	1143.32
