load_zone	timestamp	LZ_NetDispatch	LZ_TXNet	lz_demand_mw	DumpPower	distribution_losses
Central	2025011500	4.02948696809	-0.13338696808556005	3.7	0.0	0.1961
Central	2025011512	3.159	0.0	3	0.0	0.159
Central	2025011600	3.99696588542	-0.206165885417	3.6	0.0	0.1908
Central	2025011612	3.4749	0.0	3.3	0.0	0.17489999999999997
Central	2025061500	4.02948696809	-0.870486968085	3	0.0	0.159
Central	2025061512	5.90948696809	-1.69748696809	4	0.0	0.212
Central	2035011512	11.33738456298	-6.493584562980001	4.6	0.0	0.24379999999999996
North	2025011500	4.54058075	0.7244192500003199	5	0.0	0.265
North	2025011512	4.212	0.0	4	0.0	0.212
North	2025011600	4.54058075	0.19791925000032	4.5	0.0	0.2385
North	2025011612	4.4226	0.0	4.2	0.0	0.2226
North	2025061500	4.212	0.0	4	0.0	0.212
North	2025061512	6.318	0.0	6	0.0	0.318
North	2035011512	8.586160750000001	-2.26816075	6	0.0	0.318
South	2025011500	6.97886852908	-0.660868529076	6	0.0	0.318
South	2025011512	7.371	0.0	7	0.0	0.371
South	2025011600	6.8445	0.0	6.5	0.0	0.3445
South	2025011612	7.5816	0.0	7.2	0.0	0.3816
South	2025061500	7.6057422500000005	0.8182577499999	8	0.0	0.424
South	2025061512	8.93436225	1.5956377500046	10	0.0	0.53
South	2035011512	2.90574225	8.1507577500012	10.5	0.0	0.5565
