GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
C-Biomass_IGCC,2020,Biomass_IGCC,Central,BioSolid,0,0,0
C-Biomass_IGCC,2030,Biomass_IGCC,Central,BioSolid,0,0,0
C-Central_PV-1,2020,Central_PV,Central,Solar,0,0,0
C-Central_PV-1,2030,Central_PV,Central,Solar,2,347586,61008
C-Central_PV-2,2020,Central_PV,Central,Solar,0,0,0
C-Central_PV-2,2030,Central_PV,Central,Solar,3,499481,91512
C-Coal_IGCC,2020,Coal_IGCC,Central,Coal,0,0,0
C-Coal_IGCC,2030,Coal_IGCC,Central,Coal,0,0,0
C-Coal_ST,2020,Coal_ST,Central,Coal,2,411840,42780
C-Commercial_PV,2020,Commercial_PV,Central,Solar,0,0,0
C-Commercial_PV,2030,Commercial_PV,Central,Solar,0.7,145513,21352.8
C-NG_CC,2020,NG_CC,Central,NaturalGas,4.70615,475284,24441
C-NG_CC,2030,NG_CC,Central,NaturalGas,2.70615,248465,12704.4
C-NG_GT,2020,NG_GT,Central,NaturalGas,2,125164,9783.6
C-NG_GT,2030,NG_GT,Central,NaturalGas,0,0,0
C-Nuclear,2030,Nuclear,Central,Uranium,0,0,0
C-Residential_PV,2020,Residential_PV,Central,Solar,0,0,0
C-Residential_PV,2030,Residential_PV,Central,Solar,0,0,0
C-Wind-1,2020,Wind,Central,Wind,0,0,0
C-Wind-1,2030,Wind,Central,Wind,4,498237,178560
C-Wind-2,2020,Wind,Central,Wind,0,0,0
C-Wind-2,2030,Wind,Central,Wind,3,374971,133920
N-Biomass_IGCC,2020,Biomass_IGCC,North,BioSolid,0,0,0
N-Biomass_IGCC,2030,Biomass_IGCC,North,BioSolid,0,0,0
N-Biomass_IGCC_CCS,2030,Biomass_IGCC_CCS,North,BioSolid,0.236485,106931,23818.5
N-Central_PV-1,2020,Central_PV,North,Solar,0,0,0
N-Central_PV-1,2030,Central_PV,North,Solar,3,622872,114390
N-Central_PV-2,2020,Central_PV,North,Solar,0,0,0
N-Central_PV-2,2030,Central_PV,North,Solar,0,0,0
N-Coal_IGCC,2020,Coal_IGCC,North,Coal,0,0,0
N-Coal_IGCC,2030,Coal_IGCC,North,Coal,0,0,0
N-Coal_IGCC_CCS,2030,Coal_IGCC_CCS,North,Coal,0,0,0
N-Coal_ST,2020,Coal_ST,North,Coal,2,411840,42780
N-Coal_ST,2030,Coal_ST,North,Coal,2,411840,42780
N-Commercial_PV,2020,Commercial_PV,North,Solar,0,0,0
N-Commercial_PV,2030,Commercial_PV,North,Solar,0,0,0
N-Geothermal,2020,Geothermal,North,Geothermal,1,458318,0
N-Geothermal,2030,Geothermal,North,Geothermal,1,458318,0
N-NG_CC,2020,NG_CC,North,NaturalGas,2,226820,11736.6
N-NG_CC,2030,NG_CC,North,NaturalGas,2,226820,11736.6
N-NG_CC_CCS,2030,NG_CC_CCS,North,NaturalGas,0,0,0
N-NG_GT,2020,NG_GT,North,NaturalGas,2,125164,9783.6
N-NG_GT,2030,NG_GT,North,NaturalGas,2,125164,9783.6
N-Nuclear,2030,Nuclear,North,Uranium,0,0,0
N-Residential_PV,2020,Residential_PV,North,Solar,0,0,0
N-Residential_PV,2030,Residential_PV,North,Solar,0,0,0
N-Wind-1,2020,Wind,North,Wind,0,0,0
N-Wind-1,2030,Wind,North,Wind,4,616648,223200
N-Wind-2,2020,Wind,North,Wind,0,0,0
N-Wind-2,2030,Wind,North,Wind,1,154860,55800
S-Biomass_IGCC,2020,Biomass_IGCC,South,BioSolid,0,0,0
S-Biomass_IGCC,2030,Biomass_IGCC,South,BioSolid,0,0,0
S-Biomass_IGCC_CCS,2030,Biomass_IGCC_CCS,South,BioSolid,0,0,0
S-Central_PV-1,2020,Central_PV,South,Solar,0,0,0
S-Central_PV-1,2030,Central_PV,South,Solar,0,0,0
S-Central_PV-2,2020,Central_PV,South,Solar,0,0,0
S-Central_PV-2,2030,Central_PV,South,Solar,0,0,0
S-Commercial_PV,2020,Commercial_PV,South,Solar,0,0,0
S-Commercial_PV,2030,Commercial_PV,South,Solar,0,0,0
S-Geothermal,2020,Geothermal,South,Geothermal,3,1.36798e+06,0
S-Geothermal,2030,Geothermal,South,Geothermal,3,1.36798e+06,0
S-NG_CC,2020,NG_CC,South,NaturalGas,5,567050,29341.5
S-NG_CC,2030,NG_CC,South,NaturalGas,1.18888,160505,8372.05
S-NG_CC_CCS,2030,NG_CC_CCS,South,NaturalGas,0,0,0
S-NG_GT,2020,NG_GT,South,NaturalGas,2,125164,9783.6
S-NG_GT,2030,NG_GT,South,NaturalGas,0,0,0
S-Residential_PV,2020,Residential_PV,South,Solar,0,0,0
S-Residential_PV,2030,Residential_PV,South,Solar,0,0,0
