generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CCCT	2020	3510000.0	63775.0015259
CCCT	2030	3510000.0	63775.0015259
CentralTrackingPV	2020	3472000.0	34430.0003052
CentralTrackingPV	2030	3472000.0	34430.0003052
DistPV_peak	2020	4000000.0	0.0
DistPV_peak	2030	4000000.0	0.0
Reciprocating	2020	2702000.0	10140.0003433
Reciprocating	2030	2702000.0	10140.0003433
SCCT	2020	2800000.0	22014.9993896
SCCT	2030	2800000.0	22014.9993896
Wind	2020	3510000.0	79519.9966431
Wind	2030	3510000.0	79519.9966431
