PROJECT	timepoint	proj_max_capacity_factor
Oahu_CentralTrackingPV_100_na	200700	0.0
Oahu_CentralTrackingPV_100_na	200701	0.0
Oahu_CentralTrackingPV_100_na	200702	0.0
Oahu_CentralTrackingPV_100_na	200703	0.0
Oahu_CentralTrackingPV_100_na	200704	0.0
Oahu_CentralTrackingPV_100_na	200705	0.0
Oahu_CentralTrackingPV_100_na	200706	0.151664614677
Oahu_CentralTrackingPV_100_na	200707	0.544888973236
Oahu_CentralTrackingPV_100_na	200708	0.565183162689
Oahu_CentralTrackingPV_100_na	200709	0.775742709637
Oahu_CentralTrackingPV_100_na	200710	0.893735647202
Oahu_CentralTrackingPV_100_na	200711	0.725267589092
Oahu_CentralTrackingPV_100_na	200712	0.746476709843
Oahu_CentralTrackingPV_100_na	200713	0.778795838356
Oahu_CentralTrackingPV_100_na	200714	0.896000027657
Oahu_CentralTrackingPV_100_na	200715	0.896000027657
Oahu_CentralTrackingPV_100_na	200716	0.762131631374
Oahu_CentralTrackingPV_100_na	200717	0.769648134708
Oahu_CentralTrackingPV_100_na	200718	0.728509306908
Oahu_CentralTrackingPV_100_na	200719	0.00129348505288
Oahu_CentralTrackingPV_100_na	200720	0.0
Oahu_CentralTrackingPV_100_na	200721	0.0
Oahu_CentralTrackingPV_100_na	200722	0.0
Oahu_CentralTrackingPV_100_na	200723	0.0
Oahu_CentralTrackingPV_100_na	300700	0.0
Oahu_CentralTrackingPV_100_na	300701	0.0
Oahu_CentralTrackingPV_100_na	300702	0.0
Oahu_CentralTrackingPV_100_na	300703	0.0
Oahu_CentralTrackingPV_100_na	300704	0.0
Oahu_CentralTrackingPV_100_na	300705	0.0
Oahu_CentralTrackingPV_100_na	300706	0.151664614677
Oahu_CentralTrackingPV_100_na	300707	0.544888973236
Oahu_CentralTrackingPV_100_na	300708	0.565183162689
Oahu_CentralTrackingPV_100_na	300709	0.775742709637
Oahu_CentralTrackingPV_100_na	300710	0.893735647202
Oahu_CentralTrackingPV_100_na	300711	0.725267589092
Oahu_CentralTrackingPV_100_na	300712	0.746476709843
Oahu_CentralTrackingPV_100_na	300713	0.778795838356
Oahu_CentralTrackingPV_100_na	300714	0.896000027657
Oahu_CentralTrackingPV_100_na	300715	0.896000027657
Oahu_CentralTrackingPV_100_na	300716	0.762131631374
Oahu_CentralTrackingPV_100_na	300717	0.769648134708
Oahu_CentralTrackingPV_100_na	300718	0.728509306908
Oahu_CentralTrackingPV_100_na	300719	0.00129348505288
Oahu_CentralTrackingPV_100_na	300720	0.0
Oahu_CentralTrackingPV_100_na	300721	0.0
Oahu_CentralTrackingPV_100_na	300722	0.0
Oahu_CentralTrackingPV_100_na	300723	0.0
Oahu_CentralTrackingPV_101_na	200700	0.0
Oahu_CentralTrackingPV_101_na	200701	0.0
Oahu_CentralTrackingPV_101_na	200702	0.0
Oahu_CentralTrackingPV_101_na	200703	0.0
Oahu_CentralTrackingPV_101_na	200704	0.0
Oahu_CentralTrackingPV_101_na	200705	0.0
Oahu_CentralTrackingPV_101_na	200706	0.191039785743
Oahu_CentralTrackingPV_101_na	200707	0.596885085106
Oahu_CentralTrackingPV_101_na	200708	0.568112790585
Oahu_CentralTrackingPV_101_na	200709	0.785447895527
Oahu_CentralTrackingPV_101_na	200710	0.896000027657
Oahu_CentralTrackingPV_101_na	200711	0.758344292641
Oahu_CentralTrackingPV_101_na	200712	0.730953097343
Oahu_CentralTrackingPV_101_na	200713	0.807008504868
Oahu_CentralTrackingPV_101_na	200714	0.896000027657
Oahu_CentralTrackingPV_101_na	200715	0.886411130428
Oahu_CentralTrackingPV_101_na	200716	0.782709300518
Oahu_CentralTrackingPV_101_na	200717	0.743110895157
Oahu_CentralTrackingPV_101_na	200718	0.598094463348
Oahu_CentralTrackingPV_101_na	200719	0.00132925144862
Oahu_CentralTrackingPV_101_na	200720	0.0
Oahu_CentralTrackingPV_101_na	200721	0.0
Oahu_CentralTrackingPV_101_na	200722	0.0
Oahu_CentralTrackingPV_101_na	200723	0.0
Oahu_CentralTrackingPV_101_na	300700	0.0
Oahu_CentralTrackingPV_101_na	300701	0.0
Oahu_CentralTrackingPV_101_na	300702	0.0
Oahu_CentralTrackingPV_101_na	300703	0.0
Oahu_CentralTrackingPV_101_na	300704	0.0
Oahu_CentralTrackingPV_101_na	300705	0.0
Oahu_CentralTrackingPV_101_na	300706	0.191039785743
Oahu_CentralTrackingPV_101_na	300707	0.596885085106
Oahu_CentralTrackingPV_101_na	300708	0.568112790585
Oahu_CentralTrackingPV_101_na	300709	0.785447895527
Oahu_CentralTrackingPV_101_na	300710	0.896000027657
Oahu_CentralTrackingPV_101_na	300711	0.758344292641
Oahu_CentralTrackingPV_101_na	300712	0.730953097343
Oahu_CentralTrackingPV_101_na	300713	0.807008504868
Oahu_CentralTrackingPV_101_na	300714	0.896000027657
Oahu_CentralTrackingPV_101_na	300715	0.886411130428
Oahu_CentralTrackingPV_101_na	300716	0.782709300518
Oahu_CentralTrackingPV_101_na	300717	0.743110895157
Oahu_CentralTrackingPV_101_na	300718	0.598094463348
Oahu_CentralTrackingPV_101_na	300719	0.00132925144862
Oahu_CentralTrackingPV_101_na	300720	0.0
Oahu_CentralTrackingPV_101_na	300721	0.0
Oahu_CentralTrackingPV_101_na	300722	0.0
Oahu_CentralTrackingPV_101_na	300723	0.0
Oahu_CentralTrackingPV_102_na	200700	0.0
Oahu_CentralTrackingPV_102_na	200701	0.0
Oahu_CentralTrackingPV_102_na	200702	0.0
Oahu_CentralTrackingPV_102_na	200703	0.0
Oahu_CentralTrackingPV_102_na	200704	0.0
Oahu_CentralTrackingPV_102_na	200705	0.0
Oahu_CentralTrackingPV_102_na	200706	0.166129216552
Oahu_CentralTrackingPV_102_na	200707	0.587990641594
Oahu_CentralTrackingPV_102_na	200708	0.580010056496
Oahu_CentralTrackingPV_102_na	200709	0.802818000317
Oahu_CentralTrackingPV_102_na	200710	0.894751310349
Oahu_CentralTrackingPV_102_na	200711	0.787455320358
Oahu_CentralTrackingPV_102_na	200712	0.75202870369
Oahu_CentralTrackingPV_102_na	200713	0.862937450409
Oahu_CentralTrackingPV_102_na	200714	0.896000027657
Oahu_CentralTrackingPV_102_na	200715	0.896000027657
Oahu_CentralTrackingPV_102_na	200716	0.853589355946
Oahu_CentralTrackingPV_102_na	200717	0.769710421562
Oahu_CentralTrackingPV_102_na	200718	0.730889797211
Oahu_CentralTrackingPV_102_na	200719	0.00133896584157
Oahu_CentralTrackingPV_102_na	200720	0.0
Oahu_CentralTrackingPV_102_na	200721	0.0
Oahu_CentralTrackingPV_102_na	200722	0.0
Oahu_CentralTrackingPV_102_na	200723	0.0
Oahu_CentralTrackingPV_102_na	300700	0.0
Oahu_CentralTrackingPV_102_na	300701	0.0
Oahu_CentralTrackingPV_102_na	300702	0.0
Oahu_CentralTrackingPV_102_na	300703	0.0
Oahu_CentralTrackingPV_102_na	300704	0.0
Oahu_CentralTrackingPV_102_na	300705	0.0
Oahu_CentralTrackingPV_102_na	300706	0.166129216552
Oahu_CentralTrackingPV_102_na	300707	0.587990641594
