LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	200700	587.832794767
Oahu	200701	533.56211128
Oahu	200702	507.478590415
Oahu	200703	495.396532281
Oahu	200704	513.00024882
Oahu	200705	546.590792157
Oahu	200706	613.127530214
Oahu	200707	727.295673488
Oahu	200708	832.168987667
Oahu	200709	897.233272784
Oahu	200710	923.330033688
Oahu	200711	938.580473531
Oahu	200712	936.227196834
Oahu	200713	935.6749668
Oahu	200714	938.909147495
Oahu	200715	954.225386324
Oahu	200716	973.893184988
Oahu	200717	982.911979307
Oahu	200718	986.790428376
Oahu	200719	1044.20309373
Oahu	200720	993.008914102
Oahu	200721	904.385221455
Oahu	200722	767.538574651
Oahu	200723	640.407469244
Oahu	300700	574.133332589
Oahu	300701	518.724381335
Oahu	300702	492.093787371
Oahu	300703	479.758321385
Oahu	300704	497.731256474
Oahu	300705	532.026324433
Oahu	300706	599.958597231
Oahu	300707	716.521291468
Oahu	300708	823.594207816
Oahu	300709	890.023144596
Oahu	300710	916.667256295
Oahu	300711	932.237557304
Oahu	300712	929.834923223
Oahu	300713	929.271110772
Oahu	300714	932.573124842
Oahu	300715	948.210604899
Oahu	300716	968.29091396
Oahu	300717	977.49886755
Oahu	300718	981.458662813
Oahu	300719	1040.07549554
Oahu	300720	987.807574422
Oahu	300721	897.325097507
Oahu	300722	757.608243125
Oahu	300723	627.810702912
