"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Total installed capacity","Kilowatts","200","units ","0","v53517872","1.1.1","123003404","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Kilowatts","200","units ","0","v53517874","1.1.2","72644118","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Wind power turbine","Kilowatts","200","units ","0","v53517875","1.1.3","1470499","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Tidal power turbine","Kilowatts","200","units ","0","v53517876","1.1.4","3700","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Total thermal","Kilowatts","200","units ","0","v53517877","1.1.6","48885087","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Kilowatts","200","units ","0","v53517878","1.1.7","25768798","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Kilowatts","200","units ","0","v53517879","1.1.8","13345000","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Kilowatts","200","units ","0","v53517880","1.1.9","9160533","","","","0"
"2006","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Kilowatts","200","units ","0","v53517873","1.1.10","610756","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Total installed capacity","Kilowatts","200","units ","0","v53517881","1.2.1","89836132","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Hydraulic turbine","Kilowatts","200","units ","0","v53517883","1.2.2","63585857","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Wind power turbine","Kilowatts","200","units ","0","v53517884","1.2.3","188480","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Total thermal","Kilowatts","200","units ","0","v53517885","1.2.6","26061795","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Conventional steam turbine","Kilowatts","200","units ","0","v53517886","1.2.7","14895180","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Nuclear steam turbine","Kilowatts","200","units ","0","v53517887","1.2.8","8335000","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Combustion turbine","Kilowatts","200","units ","0","v53517888","1.2.9","2441170","","","","0"
"2006","Canada","2016A000011124","Electricity producer, public electric utilities","Internal combustion turbine","Kilowatts","200","units ","0","v53517882","1.2.10","390445","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Total installed capacity","Kilowatts","200","units ","0","v53517889","1.3.1","25104687","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Hydraulic turbine","Kilowatts","200","units ","0","v53517891","1.3.2","4335621","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Wind power turbine","Kilowatts","200","units ","0","v53517892","1.3.3","1281419","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Tidal power turbine","Kilowatts","200","units ","0","v53517893","1.3.4","3700","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Total thermal","Kilowatts","200","units ","0","v53517894","1.3.6","19483947","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Conventional steam turbine","Kilowatts","200","units ","0","v53517895","1.3.7","8974393","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Nuclear steam turbine","Kilowatts","200","units ","0","v53517896","1.3.8","5010000","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Combustion turbine","Kilowatts","200","units ","0","v53517897","1.3.9","5365863","","","","0"
"2006","Canada","2016A000011124","Electricity producer, private electric utilities","Internal combustion turbine","Kilowatts","200","units ","0","v53517890","1.3.10","133691","","","","0"
"2006","Canada","2016A000011124","Electricity producer, industries","Total installed capacity","Kilowatts","200","units ","0","v53517898","1.4.1","8062585","","","","0"
"2006","Canada","2016A000011124","Electricity producer, industries","Hydraulic turbine","Kilowatts","200","units ","0","v53517900","1.4.2","4722640","","","","0"
"2006","Canada","2016A000011124","Electricity producer, industries","Wind power turbine","Kilowatts","200","units ","0","v53517901","1.4.3","600","","","","0"
"2006","Canada","2016A000011124","Electricity producer, industries","Total thermal","Kilowatts","200","units ","0","v53517902","1.4.6","3339345","","","","0"
"2006","Canada","2016A000011124","Electricity producer, industries","Conventional steam turbine","Kilowatts","200","units ","0","v53517903","1.4.7","1899225","","","","0"
