timepoint_label	Oahu_Kahe_K1	Oahu_Kahe_K3	Oahu_Kahe_K2	Oahu_Kahe_K5	Oahu_Kahe_K4	Oahu_Kahe_K6	Oahu_Waiau_W5	Oahu_Waiau_W7_W8	Oahu_Honolulu_H9	Oahu_Honolulu_H8	Oahu_Tesoro_GEN1	Oahu_Waiau_W10_W9	Oahu_HPower_GEN1	Oahu_Waiau_W4	Oahu_Chevron_GEN1_GEN2_GEN3	Oahu_Kalaeloa_CC1_CC2	Oahu_Waiau_W6	Oahu_Waiau_W3	Oahu_AES_GEN1
2007-01-30-00:00	73.2183966526734	0.0	0.0	0.0	0.0	0.0	0.0	149.376	0.0	0.0	15.6397257990868	0.0	57.6	0.0	7.21737560760053	151.160501940639	49.728	0.0	178.2
2007-01-30-01:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.848396652673	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	0.0	45.312	178.2
2007-01-30-02:00	0.0	77.7183966526735	0.0	0.0	0.0	0.0	49.824	0.0	0.0	0.0	15.6397257990868	0.0	57.6	0.0	7.21737560760053	151.160501940639	49.728	45.312	178.2
2007-01-30-03:00	0.0	77.3123966526735	0.0	0.0	0.0	0.0	49.824	74.688	0.0	0.0	15.6397257990868	0.0	57.6	0.0	7.21737560760053	151.160501940639	49.728	0.0	178.2
2007-01-30-04:00	73.9423966526734	0.0	0.0	0.0	0.0	0.0	0.0	149.376	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	0.0	45.312	178.2
2007-01-30-05:00	73.1283966526734	0.0	74.976	0.0	0.0	0.0	0.0	149.376	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	49.728	45.312	178.2
2007-01-30-06:00	74.4983966526734	78.816	74.976	0.0	0.0	0.0	49.824	149.376	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	49.728	45.312	178.2
2007-01-30-07:00	0.0	0.0	0.0	120.714396652673	83.712	123.552	49.824	74.688	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	49.728	45.312	178.2
2007-01-30-08:00	74.784	78.816	74.976	122.728396652673	0.0	0.0	0.0	149.376	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	49.728	45.312	178.2
2007-01-30-09:00	0.0	0.0	0.0	120.346396652673	83.712	123.552	49.824	149.376	0.0	0.0	15.6397257990868	0.0	57.6	45.792	7.21737560760053	151.160501940639	49.728	45.312	178.2
