PROJECT	build_year	proj_overnight_cost	proj_fixed_om
N-Coal_ST	1995	2687700.0	21390.0
N-Geothermal	2000	5524200.0	0.0
N-NG_CC	2008	1143900.0	5868.3
N-NG_GT	2009	605430.0	4891.8
C-Coal_ST	1985	2687700.0	21390.0
C-NG_CC	2005	1143900.0	5868.3
C-NG_GT	2005	605430.0	4891.8
S-Geothermal	1998	5524200.0	0.0
S-NG_CC	2000	1143900.0	5868.3
S-NG_GT	1990	605430.0	4891.8
S-NG_GT	2002	605430.0	4891.8
N-Geothermal	2020	5524200.0	0.0
N-Geothermal	2030	5524200.0	0.0
N-Coal_IGCC	2020	3729300.0	28923.0
N-Coal_IGCC	2030	3729300.0	28923.0
N-Coal_IGCC_CCS	2030	6138000.0	41292.0
N-NG_CC	2020	1143900.0	5868.3
N-NG_CC	2030	1143900.0	5868.3
N-NG_CC_CCS	2030	3487500.0	17112.0
N-NG_GT	2020	605430.0	4891.8
N-NG_GT	2030	605430.0	4891.8
N-Nuclear	2030	5673000.0	118110.0
N-Biomass_IGCC	2020	3561900.0	88350.0
N-Biomass_IGCC	2030	3561900.0	88350.0
N-Biomass_IGCC_CCS	2030	5970600.0	100719.0
N-Residential_PV	2020	3487500.0	41850.0
N-Residential_PV	2030	3059700.0	38130.0
N-Commercial_PV	2020	3106200.0	41850.0
N-Commercial_PV	2030	2752800.0	38130.0
N-Central_PV-1	2020	2334300.0	41850.0
N-Central_PV-2	2020	2334300.0	41850.0
N-Central_PV-1	2030	2148300.0	38130.0
N-Central_PV-2	2030	2148300.0	38130.0
N-Wind-1	2020	1841400.0	55800.0
N-Wind-2	2020	1841400.0	55800.0
N-Wind-1	2030	1841400.0	55800.0
N-Wind-2	2030	1841400.0	55800.0
C-Coal_IGCC	2020	2983440.0	23138.4
C-Coal_IGCC	2030	2983440.0	23138.4
C-NG_CC	2020	915120.0	4694.64
C-NG_CC	2030	915120.0	4694.64
C-NG_GT	2020	484344.0	3913.44
C-NG_GT	2030	484344.0	3913.44
C-Nuclear	2030	4538400.0	94488.0
C-Biomass_IGCC	2020	2849520.0	70680.0
C-Biomass_IGCC	2030	2849520.0	70680.0
C-Residential_PV	2020	2790000.0	33480.0
C-Residential_PV	2030	2447760.0	30504.0
C-Commercial_PV	2020	2484960.0	33480.0
C-Commercial_PV	2030	2202240.0	30504.0
C-Central_PV-1	2020	1867440.0	33480.0
C-Central_PV-2	2020	1867440.0	33480.0
C-Central_PV-1	2030	1718640.0	30504.0
C-Central_PV-2	2030	1718640.0	30504.0
C-Wind-1	2020	1473120.0	44640.0
C-Wind-2	2020	1473120.0	44640.0
C-Wind-1	2030	1473120.0	44640.0
C-Wind-2	2030	1473120.0	44640.0
S-Geothermal	2020	6629040.0	0.0
S-Geothermal	2030	6629040.0	0.0
S-NG_CC	2020	1372680.0	7041.96
S-NG_CC	2030	1372680.0	7041.96
S-NG_CC_CCS	2030	4185000.0	20534.4
S-NG_GT	2020	726516.0	5870.16
S-NG_GT	2030	726516.0	5870.16
S-Biomass_IGCC	2020	4274280.0	106020.0
S-Biomass_IGCC	2030	4274280.0	106020.0
S-Biomass_IGCC_CCS	2030	7164720.0	120862.8
S-Residential_PV	2020	4185000.0	50220.0
S-Residential_PV	2030	3671640.0	45756.0
S-Commercial_PV	2020	3727440.0	50220.0
S-Commercial_PV	2030	3303360.0	45756.0
S-Central_PV-1	2020	2801160.0	50220.0
S-Central_PV-2	2020	2801160.0	50220.0
S-Central_PV-1	2030	2577960.0	45756.0
S-Central_PV-2	2030	2577960.0	45756.0
