GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01	210700	0.0
Oahu_CentralTrackingPV_PV_01	210703	0.0
Oahu_CentralTrackingPV_PV_01	210706	0.0990859
Oahu_CentralTrackingPV_PV_01	210709	0.880292
Oahu_CentralTrackingPV_PV_01	210712	0.58097
Oahu_CentralTrackingPV_PV_01	210715	0.984054
Oahu_CentralTrackingPV_PV_01	210718	0.239762
Oahu_CentralTrackingPV_PV_01	210721	0.0
Oahu_CentralTrackingPV_PV_01	370700	0.0
Oahu_CentralTrackingPV_PV_01	370703	0.0
Oahu_CentralTrackingPV_PV_01	370706	0.0990859
Oahu_CentralTrackingPV_PV_01	370709	0.880292
Oahu_CentralTrackingPV_PV_01	370712	0.58097
Oahu_CentralTrackingPV_PV_01	370715	0.984054
Oahu_CentralTrackingPV_PV_01	370718	0.239762
Oahu_CentralTrackingPV_PV_01	370721	0.0
Oahu_CentralTrackingPV_PV_02	210700	0.0
Oahu_CentralTrackingPV_PV_02	210703	0.0
Oahu_CentralTrackingPV_PV_02	210706	0.0980967
Oahu_CentralTrackingPV_PV_02	210709	1.0
Oahu_CentralTrackingPV_PV_02	210712	0.67974
Oahu_CentralTrackingPV_PV_02	210715	1.0
Oahu_CentralTrackingPV_PV_02	210718	0.230244
Oahu_CentralTrackingPV_PV_02	210721	0.0
Oahu_CentralTrackingPV_PV_02	370700	0.0
Oahu_CentralTrackingPV_PV_02	370703	0.0
Oahu_CentralTrackingPV_PV_02	370706	0.0980967
Oahu_CentralTrackingPV_PV_02	370709	1.0
Oahu_CentralTrackingPV_PV_02	370712	0.67974
Oahu_CentralTrackingPV_PV_02	370715	1.0
Oahu_CentralTrackingPV_PV_02	370718	0.230244
Oahu_CentralTrackingPV_PV_02	370721	0.0
Oahu_CentralTrackingPV_PV_03	210700	0.0
Oahu_CentralTrackingPV_PV_03	210703	0.0
Oahu_CentralTrackingPV_PV_03	210706	0.0996834
Oahu_CentralTrackingPV_PV_03	210709	0.908088
Oahu_CentralTrackingPV_PV_03	210712	0.728513
Oahu_CentralTrackingPV_PV_03	210715	1.0
Oahu_CentralTrackingPV_PV_03	210718	0.227332
Oahu_CentralTrackingPV_PV_03	210721	0.0
Oahu_CentralTrackingPV_PV_03	370700	0.0
Oahu_CentralTrackingPV_PV_03	370703	0.0
Oahu_CentralTrackingPV_PV_03	370706	0.0996834
Oahu_CentralTrackingPV_PV_03	370709	0.908088
Oahu_CentralTrackingPV_PV_03	370712	0.728513
Oahu_CentralTrackingPV_PV_03	370715	1.0
Oahu_CentralTrackingPV_PV_03	370718	0.227332
Oahu_CentralTrackingPV_PV_03	370721	0.0
Oahu_CentralTrackingPV_PV_04	210700	0.0
Oahu_CentralTrackingPV_PV_04	210703	0.0
Oahu_CentralTrackingPV_PV_04	210706	0.106319
Oahu_CentralTrackingPV_PV_04	210709	0.894423
Oahu_CentralTrackingPV_PV_04	210712	0.480843
Oahu_CentralTrackingPV_PV_04	210715	1.0
Oahu_CentralTrackingPV_PV_04	210718	0.159725
Oahu_CentralTrackingPV_PV_04	210721	0.0
Oahu_CentralTrackingPV_PV_04	370700	0.0
Oahu_CentralTrackingPV_PV_04	370703	0.0
Oahu_CentralTrackingPV_PV_04	370706	0.106319
Oahu_CentralTrackingPV_PV_04	370709	0.894423
Oahu_CentralTrackingPV_PV_04	370712	0.480843
Oahu_CentralTrackingPV_PV_04	370715	1.0
Oahu_CentralTrackingPV_PV_04	370718	0.159725
Oahu_CentralTrackingPV_PV_04	370721	0.0
Oahu_CentralTrackingPV_PV_05	210700	0.0
Oahu_CentralTrackingPV_PV_05	210703	0.0
Oahu_CentralTrackingPV_PV_05	210706	0.107138
Oahu_CentralTrackingPV_PV_05	210709	0.204756
Oahu_CentralTrackingPV_PV_05	210712	0.560683
Oahu_CentralTrackingPV_PV_05	210715	0.701742
Oahu_CentralTrackingPV_PV_05	210718	0.139201
Oahu_CentralTrackingPV_PV_05	210721	0.0
Oahu_CentralTrackingPV_PV_05	370700	0.0
Oahu_CentralTrackingPV_PV_05	370703	0.0
Oahu_CentralTrackingPV_PV_05	370706	0.107138
Oahu_CentralTrackingPV_PV_05	370709	0.204756
Oahu_CentralTrackingPV_PV_05	370712	0.560683
Oahu_CentralTrackingPV_PV_05	370715	0.701742
Oahu_CentralTrackingPV_PV_05	370718	0.139201
Oahu_CentralTrackingPV_PV_05	370721	0.0
Oahu_CentralTrackingPV_PV_06	210700	0.0
Oahu_CentralTrackingPV_PV_06	210703	0.0
Oahu_CentralTrackingPV_PV_06	210706	0.109435
Oahu_CentralTrackingPV_PV_06	210709	0.205653
Oahu_CentralTrackingPV_PV_06	210712	0.286728
Oahu_CentralTrackingPV_PV_06	210715	1.0
Oahu_CentralTrackingPV_PV_06	210718	0.0721067
Oahu_CentralTrackingPV_PV_06	210721	0.0
Oahu_CentralTrackingPV_PV_06	370700	0.0
Oahu_CentralTrackingPV_PV_06	370703	0.0
Oahu_CentralTrackingPV_PV_06	370706	0.109435
Oahu_CentralTrackingPV_PV_06	370709	0.205653
Oahu_CentralTrackingPV_PV_06	370712	0.286728
Oahu_CentralTrackingPV_PV_06	370715	1.0
Oahu_CentralTrackingPV_PV_06	370718	0.0721067
