BATTERY_CAPITAL_COST_YEARS	battery_capital_cost_per_mwh_capacity_by_year
2016	530000.0
2017	484282.907662
2018	438086.930342
2019	399060.51789
2020	364070.630072
2021	339339.971954
2022	317167.031439
2023	299202.523578
2024	282641.139971
2025	269126.882468
2026	256002.169914
2027	244901.083228
2028	234919.816522
2029	226007.965585
2030	218116.810959
2031	210434.054918
2032	203706.47931
2033	197889.416536
2034	191489.040427
2035	186678.159016
2036	181277.625584
2037	176697.247897
2038	172222.172925
2039	167850.108826
2040	164230.520295
2041	160046.270596
2042	156587.510328
2043	153201.026351
2044	149885.344083
2045	146639.018495
