generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
Geothermal	2020	5524200	0
Geothermal	2030	5524200	0
Coal_IGCC	2020	3729300	28923
Coal_IGCC	2030	3729300	28923
Coal_IGCC_CCS	2030	6138000	41292
NG_CC	2020	1143900	5868.3
NG_CC	2030	1143900	5868.3
NG_CC_CCS	2030	3487500	17112
NG_GT	2020	605430	4891.8
NG_GT	2030	605430	4891.8
Nuclear	2030	5673000	118110
Biomass_IGCC	2020	3561900	88350
Biomass_IGCC	2030	3561900	88350
Biomass_IGCC_CCS	2030	5970600	100719
Residential_PV	2020	3487500	41850
Residential_PV	2030	3059700	38130
Commercial_PV	2020	3106200	41850
Commercial_PV	2030	2752800	38130
Central_PV	2020	2334300	41850
Central_PV	2030	2148300	38130
Wind	2020	1841400	55800
Wind	2030	1841400	55800
