GENERATION_PROJECT,timepoint,gen_max_capacity_factor
N-Residential_PV,1,0.0
N-Residential_PV,2,0.55
N-Residential_PV,3,0.0
N-Residential_PV,4,0.6
N-Residential_PV,5,0.0
N-Residential_PV,6,0.72
N-Residential_PV,7,0.33
N-Commercial_PV,1,0.0
N-Commercial_PV,2,0.65
N-Commercial_PV,3,0.0
N-Commercial_PV,4,0.66
N-Commercial_PV,5,0.0
N-Commercial_PV,6,0.73
N-Commercial_PV,7,0.38
N-Central_PV-1,1,0.0
N-Central_PV-1,2,0.56
N-Central_PV-1,3,0.0
N-Central_PV-1,4,0.62
N-Central_PV-1,5,0.0
N-Central_PV-1,6,0.73
N-Central_PV-1,7,0.41
N-Central_PV-2,1,0.0
N-Central_PV-2,2,0.6
N-Central_PV-2,3,0.0
N-Central_PV-2,4,0.61
N-Central_PV-2,5,0.0
N-Central_PV-2,6,0.81
N-Central_PV-2,7,0.36
C-Residential_PV,1,0.0
C-Residential_PV,2,0.59
C-Residential_PV,3,0.0
C-Residential_PV,4,0.64
C-Residential_PV,5,0.0
C-Residential_PV,6,0.74
C-Residential_PV,7,0.34
C-Commercial_PV,1,0.0
C-Commercial_PV,2,0.61
C-Commercial_PV,3,0.0
C-Commercial_PV,4,0.66
C-Commercial_PV,5,0.0
C-Commercial_PV,6,0.74
C-Commercial_PV,7,0.4
C-Central_PV-1,1,0.0
C-Central_PV-1,2,0.61
C-Central_PV-1,3,0.0
C-Central_PV-1,4,0.64
C-Central_PV-1,5,0.0
C-Central_PV-1,6,0.79
C-Central_PV-1,7,0.39
C-Central_PV-2,1,0.0
C-Central_PV-2,2,0.64
C-Central_PV-2,3,0.0
C-Central_PV-2,4,0.68
C-Central_PV-2,5,0.0
C-Central_PV-2,6,0.72
C-Central_PV-2,7,0.41
S-Residential_PV,1,0.0
S-Residential_PV,2,0.57
S-Residential_PV,3,0.0
S-Residential_PV,4,0.66
S-Residential_PV,5,0.0
S-Residential_PV,6,0.75
S-Residential_PV,7,0.34
S-Commercial_PV,1,0.0
S-Commercial_PV,2,0.57
S-Commercial_PV,3,0.0
S-Commercial_PV,4,0.63
S-Commercial_PV,5,0.0
S-Commercial_PV,6,0.79
S-Commercial_PV,7,0.34
S-Central_PV-1,1,0.0
S-Central_PV-1,2,0.61
S-Central_PV-1,3,0.0
S-Central_PV-1,4,0.7
S-Central_PV-1,5,0.0
S-Central_PV-1,6,0.75
S-Central_PV-1,7,0.37
S-Central_PV-2,1,0.0
S-Central_PV-2,2,0.64
S-Central_PV-2,3,0.0
S-Central_PV-2,4,0.63
S-Central_PV-2,5,0.0
S-Central_PV-2,6,0.74
S-Central_PV-2,7,0.4
N-Wind-1,1,0.6
N-Wind-1,2,0.3
N-Wind-1,3,0.65
N-Wind-1,4,0.42
N-Wind-1,5,0.12
N-Wind-1,6,0.05
N-Wind-1,7,0.8
N-Wind-2,1,0.68
N-Wind-2,2,0.33
N-Wind-2,3,0.71
N-Wind-2,4,0.46
N-Wind-2,5,0.17
N-Wind-2,6,0.13
N-Wind-2,7,0.87
C-Wind-1,1,0.66
C-Wind-1,2,0.4
C-Wind-1,3,0.73
C-Wind-1,4,0.5
C-Wind-1,5,0.22
C-Wind-1,6,0.05
C-Wind-1,7,0.8
C-Wind-2,1,0.62
C-Wind-2,2,0.36
C-Wind-2,3,0.66
C-Wind-2,4,0.48
C-Wind-2,5,0.14
C-Wind-2,6,0.05
C-Wind-2,7,0.86
