RESERVOIRS_BALANCE_POINTS_1	RESERVOIRS_BALANCE_POINTS_2	FilteredFlow
Dam_2	25	0.0
Dam_2	20	0.0
Dam_1	41	0.0
Dam_2	7	0.0
Dam_1	26	0.0
Dam_1	7	0.0
Dam_2	48	0.0
Dam_2	35	0.0
Dam_2	30	0.0
Dam_1	35	0.0
Dam_2	9	0.0
Dam_1	44	0.0
Dam_2	4	0.0
Dam_1	25	0.0
Dam_1	10	0.0
Dam_2	32	0.0
Dam_2	19	0.0
Dam_1	38	0.0
Dam_2	14	0.0
Dam_1	19	0.0
Dam_1	28	0.0
Dam_1	9	0.0
Dam_2	42	0.0
Dam_2	37	0.0
Dam_2	16	0.0
Dam_1	37	0.0
Dam_2	3	0.0
Dam_1	22	0.0
Dam_1	3	0.0
Dam_1	12	0.0
Dam_2	47	0.0
Dam_2	26	0.0
Dam_2	21	0.0
Dam_1	40	0.0
Dam_1	21	0.0
Dam_1	6	0.0
Dam_2	44	0.0
Dam_2	31	0.0
Dam_1	34	0.0
Dam_2	10	0.0
Dam_1	47	0.0
Dam_2	5	0.0
Dam_1	24	0.0
Dam_1	5	0.0
Dam_2	33	0.0
Dam_2	28	0.0
Dam_1	33	0.0
Dam_2	15	0.0
Dam_1	18	0.0
Dam_1	31	0.0
Dam_1	8	0.0
Dam_2	43	0.0
Dam_2	38	0.0
Dam_2	17	0.0
Dam_1	36	0.0
Dam_2	12	0.0
Dam_1	17	0.0
Dam_1	2	0.0
Dam_1	15	0.0
Dam_2	40	0.0
Dam_2	27	0.0
Dam_2	22	0.0
Dam_1	43	0.0
Dam_2	1	0.0
Dam_1	20	0.0
Dam_1	1	0.0
Dam_2	45	0.0
Dam_1	48	0.0
Dam_2	24	0.0
Dam_2	11	0.0
Dam_1	46	0.0
Dam_2	6	0.0
Dam_1	27	0.0
Dam_1	4	0.0
Dam_2	34	0.0
Dam_2	29	0.0
Dam_1	32	0.0
Dam_2	8	0.0
Dam_1	45	0.0
Dam_1	30	0.0
Dam_1	11	0.0
Dam_2	39	0.0
Dam_2	18	0.0
Dam_1	39	0.0
Dam_2	13	0.0
Dam_1	16	0.0
Dam_1	29	0.0
Dam_1	14	0.0
Dam_2	41	0.0
Dam_2	36	0.0
Dam_2	23	0.0
Dam_1	42	0.0
Dam_2	2	0.0
Dam_1	23	0.0
Dam_1	13	0.0
Dam_2	46	0.0
