RESERVOIRS_BALANCE_POINTS_1	RESERVOIRS_BALANCE_POINTS_2	ReservoirInitialVol
Dam_2	25	5.0
Dam_2	20	14.6
Dam_1	41	48.8333333333
Dam_2	7	7.31466666667
Dam_1	26	10.0
Dam_1	7	41.5555555556
Dam_2	48	15.92
Dam_2	35	27.44
Dam_2	30	23.04
Dam_1	35	40.7977777778
Dam_2	9	11.3146666667
Dam_1	44	48.7
Dam_2	4	9.15466666667
Dam_1	25	10.0
Dam_1	10	44.0355555556
Dam_2	32	27.2
Dam_2	19	16.52
Dam_1	38	44.1755555556
Dam_2	14	21.3146666667
Dam_1	19	46.7533333333
Dam_1	28	13.6733333333
Dam_1	9	43.4377777778
Dam_2	42	24.2613333333
Dam_2	37	28.8613333333
Dam_2	16	22.28
Dam_1	37	42.22
Dam_2	3	11.0746666667
Dam_1	22	33.3444444444
Dam_1	3	27.5333333333
Dam_1	12	44.3155555556
Dam_2	47	16.84
Dam_2	26	10.8
Dam_2	21	12.68
Dam_1	40	48.0866666667
Dam_1	21	41.6444444444
Dam_1	6	37.2333333333
Dam_2	44	19.6
Dam_2	31	25.12
Dam_1	34	37.6
Dam_2	10	13.3146666667
Dam_1	47	33.4666666667
Dam_2	5	7.23466666667
Dam_1	24	11.6777777778
Dam_1	5	36.1777777778
Dam_2	33	29.28
Dam_2	28	18.88
Dam_1	33	34.1733333333
Dam_2	15	23.3146666667
Dam_1	18	46.0133333333
Dam_1	31	26.3066666667
Dam_1	8	42.6111111111
Dam_2	43	20.52
Dam_2	38	27.9413333333
Dam_2	17	20.36
Dam_1	36	40.2644444444
Dam_2	12	17.3146666667
Dam_1	17	44.9466666667
Dam_1	2	23.2111111111
Dam_1	15	42.3422222222
Dam_2	40	26.1013333333
Dam_2	27	16.8
Dam_2	22	10.76
Dam_1	43	50.0
Dam_2	1	15.0
Dam_1	20	46.6111111111
Dam_1	1	20.0
Dam_2	45	18.68
Dam_1	48	24.6333333333
Dam_2	24	6.92
Dam_2	11	15.3146666667
Dam_1	46	39.3333333333
Dam_2	6	9.23466666667
Dam_1	27	10.0
Dam_1	4	31.8555555556
Dam_2	34	28.36
Dam_2	29	20.96
Dam_1	32	30.5177777778
Dam_2	8	9.31466666667
Dam_1	45	39.8666666667
Dam_1	30	22.0955555556
Dam_1	11	44.7311111111
Dam_2	39	27.0213333333
Dam_2	18	18.44
Dam_1	39	46.1311111111
Dam_2	13	19.3146666667
Dam_1	16	43.88
Dam_1	29	17.8844444444
Dam_1	14	43.3333333333
Dam_2	41	25.1813333333
Dam_2	36	29.7813333333
Dam_2	23	8.84
Dam_1	42	49.58
Dam_2	2	12.9946666667
Dam_1	23	22.5111111111
Dam_1	13	44.3244444444
Dam_2	46	17.76
