HYDRO_PROJ_DISPATCH_POINTS_1	HYDRO_PROJ_DISPATCH_POINTS_2	TurbinatedFlow
Unique-Hydro_Series	18	4.76
Unique-Hydro_Dam_1	43	6.53333333333
Unique-Hydro_Dam_2	32	3.92
Unique-Hydro_Dam_1	24	5.67777777778
Unique-Hydro_Dam_2	31	3.92
Unique-Hydro_Dam_1	13	4.99111111111
Unique-Hydro_Dam_2	10	0.0
Unique-Hydro_Dam_1	2	0.677777777778
Unique-Hydro_Dam_2	7	0.0
Unique-Hydro_Series	1	3.28888888889
Unique-Hydro_Series	28	3.28888888889
Unique-Hydro_Series	38	5.54444444444
Unique-Hydro_Series	17	4.43333333333
Unique-Hydro_Dam_1	38	4.04444444444
Unique-Hydro_Dam_2	37	3.92
Unique-Hydro_Dam_1	27	2.32666666667
Unique-Hydro_Series	7	5.44444444444
Unique-Hydro_Dam_2	16	3.92
Unique-Hydro_Dam_1	8	4.17333333333
Unique-Hydro_Dam_2	15	3.03466666667
Unique-Hydro_Series	13	6.49111111111
Unique-Hydro_Dam_2	3	3.92
Unique-Hydro_Series	27	2.21333333333
Unique-Hydro_Dam_1	44	6.53333333333
Unique-Hydro_Dam_2	43	3.92
Unique-Hydro_Dam_1	33	2.57333333333
Unique-Hydro_Dam_2	38	3.92
Unique-Hydro_Dam_1	22	6.53333333333
Unique-Hydro_Dam_2	21	3.92
Unique-Hydro_Dam_1	11	5.41555555556
Unique-Hydro_Series	39	5.54444444444
Unique-Hydro_Series	22	16.3333333333
Unique-Hydro_Dam_1	47	6.53333333333
Unique-Hydro_Series	46	13.3666666667
Unique-Hydro_Dam_2	44	3.92
Unique-Hydro_Dam_1	28	1.78888888889
Unique-Hydro_Series	37	5.54444444444
Unique-Hydro_Dam_2	27	3.92
Unique-Hydro_Dam_1	17	2.93333333333
Unique-Hydro_Dam_2	35	0.658666666667
Unique-Hydro_Dam_2	22	3.92
Unique-Hydro_Dam_1	6	0.677777777778
Unique-Hydro_Dam_2	5	0.0
Unique-Hydro_Series	10	5.80444444444
Unique-Hydro_Series	21	13.8
Unique-Hydro_Dam_1	42	5.58
Unique-Hydro_Dam_2	33	3.92
Unique-Hydro_Dam_1	31	1.78888888889
Unique-Hydro_Dam_2	4	3.92
Unique-Hydro_Dam_2	28	3.92
Unique-Hydro_Dam_1	12	4.99111111111
Unique-Hydro_Dam_2	11	0.0
Unique-Hydro_Dam_1	1	1.78888888889
Unique-Hydro_Dam_2	6	3.92
Unique-Hydro_Series	31	3.28888888889
Unique-Hydro_Dam_1	48	6.53333333333
Unique-Hydro_Series	16	4.43333333333
Unique-Hydro_Dam_1	37	4.04444444444
Unique-Hydro_Dam_2	34	3.92
Unique-Hydro_Dam_1	26	4.58333333333
Unique-Hydro_Dam_2	17	3.92
Unique-Hydro_Dam_1	15	2.46222222222
Unique-Hydro_Series	45	8.03333333333
Unique-Hydro_Series	5	5.44444444444
Unique-Hydro_Dam_2	12	0.0
Unique-Hydro_Series	26	7.5
Unique-Hydro_Series	33	4.07333333333
Unique-Hydro_Series	11	6.91555555556
Unique-Hydro_Series	15	3.96222222222
Unique-Hydro_Dam_1	32	2.34444444444
Unique-Hydro_Dam_2	39	3.92
Unique-Hydro_Dam_1	21	6.53333333333
Unique-Hydro_Dam_2	18	3.92
Unique-Hydro_Dam_1	10	4.30444444444
Unique-Hydro_Dam_2	1	3.92
Unique-Hydro_Series	25	7.5
Unique-Hydro_Dam_1	46	6.53333333333
Unique-Hydro_Dam_2	48	3.92
Unique-Hydro_Dam_2	45	3.92
Unique-Hydro_Dam_1	35	6.53333333333
Unique-Hydro_Dam_2	24	3.92
Unique-Hydro_Dam_1	16	2.93333333333
Unique-Hydro_Dam_2	23	3.92
Unique-Hydro_Dam_1	5	3.94444444444
Unique-Hydro_Series	2	2.17777777778
Unique-Hydro_Dam_2	8	0.0
Unique-Hydro_Dam_2	2	3.92
Unique-Hydro_Series	20	10.4666666667
Unique-Hydro_Dam_1	41	5.25333333333
Unique-Hydro_Dam_2	47	3.92
Unique-Hydro_Series	9	5.90222222222
Unique-Hydro_Dam_1	30	1.78888888889
Unique-Hydro_Dam_2	29	3.92
Unique-Hydro_Dam_1	19	4.14222222222
Unique-Hydro_Series	47	16.3333333333
Unique-Hydro_Series	14	6.49111111111
Unique-Hydro_Series	32	3.84444444444
Unique-Hydro_Dam_1	39	4.04444444444
Unique-Hydro_Series	30	3.28888888889
Unique-Hydro_Series	44	16.3333333333
Unique-Hydro_Series	19	5.64222222222
Unique-Hydro_Dam_1	36	4.04444444444
Unique-Hydro_Series	4	2.17777777778
Unique-Hydro_Dam_1	25	6.0
Unique-Hydro_Dam_2	30	3.92
Unique-Hydro_Dam_1	14	4.99111111111
Unique-Hydro_Series	42	7.08
Unique-Hydro_Dam_1	3	0.677777777778
Unique-Hydro_Series	3	2.17777777778
Unique-Hydro_Series	40	6.75333333333
Unique-Hydro_Series	29	3.28888888889
Unique-Hydro_Dam_2	13	0.0
Unique-Hydro_Dam_2	41	3.92
Unique-Hydro_Series	48	12.1333333333
Unique-Hydro_Dam_2	46	3.92
Unique-Hydro_Dam_2	36	3.92
Unique-Hydro_Dam_1	20	6.53333333333
Unique-Hydro_Dam_2	19	3.92
Unique-Hydro_Dam_1	9	4.40222222222
Unique-Hydro_Dam_2	14	0.0
Unique-Hydro_Dam_2	40	3.92
Unique-Hydro_Series	24	7.17777777778
Unique-Hydro_Dam_1	45	6.53333333333
Unique-Hydro_Dam_2	42	3.92
Unique-Hydro_Dam_1	34	2.80222222222
Unique-Hydro_Dam_2	25	0.2
Unique-Hydro_Dam_1	23	6.53333333333
Unique-Hydro_Series	43	8.8
Unique-Hydro_Dam_2	20	3.92
Unique-Hydro_Dam_1	4	0.677777777778
Unique-Hydro_Series	36	5.54444444444
Unique-Hydro_Series	41	6.75333333333
Unique-Hydro_Series	23	16.3333333333
Unique-Hydro_Dam_1	40	5.25333333333
Unique-Hydro_Series	8	5.67333333333
Unique-Hydro_Dam_1	29	1.78888888889
Unique-Hydro_Series	6	2.17777777778
Unique-Hydro_Dam_2	26	0.0
Unique-Hydro_Dam_1	18	3.26
Unique-Hydro_Dam_2	9	0.0
Unique-Hydro_Dam_1	7	3.94444444444
Unique-Hydro_Series	35	8.03333333333
Unique-Hydro_Series	34	4.30222222222
Unique-Hydro_Series	12	6.49111111111
