WATER_SINKS_BALANCE_POINTS_1	WATER_SINKS_BALANCE_POINTS_2	SinkSpillage
Sink_1	8	5.67333333333
Sink_2	16	3.92
Sink_2	35	0.658666666667
Sink_1	44	16.3333333333
Sink_1	33	4.07333333333
Sink_2	7	0.0
Sink_1	18	4.76
Sink_2	10	0.0
Sink_1	7	5.44444444444
Sink_2	29	3.92
Sink_2	32	3.92
Sink_1	43	8.8
Sink_1	28	3.28888888889
Sink_2	4	3.92
Sink_1	17	4.43333333333
Sink_2	23	3.92
Sink_1	2	2.17777777778
Sink_2	26	0.0
Sink_2	45	3.92
Sink_2	48	3.92
Sink_1	38	5.54444444444
Sink_1	27	3.82666666667
Sink_2	1	4.00533333333
Sink_1	12	6.49111111111
Sink_2	20	3.92
Sink_1	1	3.28888888889
Sink_2	39	3.92
Sink_2	42	6.74133333333
Sink_1	48	12.1333333333
Sink_1	37	5.54444444444
Sink_1	22	16.3333333333
Sink_2	14	0.0
Sink_1	11	6.91555555556
Sink_2	17	3.92
Sink_2	36	3.92
Sink_1	47	16.3333333333
Sink_1	32	3.84444444444
Sink_1	21	13.8
Sink_2	11	0.0
Sink_1	6	2.17777777778
Sink_2	30	3.92
Sink_2	33	3.92
Sink_1	42	7.08
Sink_1	31	3.28888888889
Sink_2	5	0.0
Sink_1	16	4.43333333333
Sink_2	8	0.0
Sink_1	5	5.44444444444
Sink_2	27	3.92
Sink_2	46	3.92
Sink_1	41	6.75333333333
Sink_1	26	7.5
Sink_2	2	3.92
Sink_1	15	3.96222222222
Sink_2	21	3.92
Sink_2	24	3.92
Sink_2	43	3.92
Sink_1	36	5.54444444444
Sink_1	25	7.5
Sink_2	15	3.03466666667
Sink_1	10	5.80444444444
Sink_2	18	3.92
Sink_2	37	3.92
Sink_2	40	3.92
Sink_1	46	13.3666666667
Sink_1	35	8.03333333333
Sink_1	20	10.4666666667
Sink_2	12	0.0
Sink_1	9	5.90222222222
Sink_2	31	3.92
Sink_2	34	3.92
Sink_1	45	8.03333333333
Sink_1	30	3.28888888889
Sink_2	6	3.92
Sink_1	19	5.64222222222
Sink_2	9	0.0
Sink_1	4	2.17777777778
Sink_2	28	3.92
Sink_2	47	3.92
Sink_1	40	6.75333333333
Sink_1	29	3.28888888889
Sink_2	3	3.92
Sink_1	14	6.49111111111
Sink_2	22	3.92
Sink_1	3	2.17777777778
Sink_2	25	0.2
Sink_2	44	3.92
Sink_1	39	5.54444444444
Sink_1	24	7.17777777778
Sink_1	13	6.49111111111
Sink_2	19	3.92
Sink_2	38	3.92
Sink_2	41	3.92
Sink_1	34	4.30222222222
Sink_1	23	16.3333333333
Sink_2	13	0.0
